CELLNAME,Size_Factor,num_genes_expressed,Pseudotime,State,ORDER
TESE1_1_cell_179-137,1.8383557118198532,1761,3.6044137407734023,1,153
TESE1_1_cell_171-029,2.0197103239533836,1962,7.441264893921257,1,239
TESE1_1_cell_190-324,1.4859546976836961,1446,6.104597365681212,1,207
TESE1_1_cell_035-011,1.6795393896335535,1599,6.673501613617947,1,219
TESE1_1_cell_211-327,1.0910978350422909,1080,4.893806146599585,1,183
TESE1_1_cell_013-063,1.1124131170078888,1038,3.8634513221110387,1,158
TESE1_1_cell_048-156,1.728983855176703,1681,7.79349790253597,1,250
TESE1_1_cell_129-137,1.099833606339667,983,1.438781980694557,1,97
TESE1_1_cell_367-080,1.5464062350615397,1459,5.961691649595958,1,203
TESE1_1_cell_186-089,1.545532657931802,1578,5.602399559289271,1,195
TESE1_1_cell_081-050,1.4497886045125588,1389,5.332080235449451,1,190
TESE1_1_cell_313-033,1.2168929417245085,1246,5.7930057657899825,1,199
TESE1_1_cell_277-132,1.0330923136277126,921,1.2777267331262483,1,67
TESE1_1_cell_321-352,1.078168893522174,1087,5.749919249125065,1,198
TESE1_1_cell_008-160,1.1506757952903965,986,1.3609417828858852,1,83
TESE1_1_cell_102-158,1.1304088058804838,1090,2.9270347116281266,1,137
TESE1_1_cell_319-158,1.1648277447921462,1122,3.2282808360948048,1,142
TESE1_1_cell_201-276,0.786394132189808,771,1.4971689255622822,1,110
TESE1_1_cell_150-026,1.5519971286918606,1796,11.188581303325037,1,285
TESE1_1_cell_213-026,0.829374126972899,743,1.454957444144738,1,105
TESE1_1_cell_307-252,1.2140974949093482,1126,3.9395862063352136,1,163
TESE1_1_cell_160-100,0.9941307736414147,911,4.337112590539481,1,172
TESE1_1_cell_171-123,0.576910336478726,564,10.419659900185398,1,278
TESE1_1_cell_377-117,0.8538342866055525,782,3.39386391458307,1,146
TESE1_1_cell_078-063,0.8639677813105089,768,3.032891147364961,1,139
TESE1_1_cell_079-155,0.6848844697142962,564,1.276696064332011,1,66
TESE1_1_cell_288-032,0.9010074516113841,843,2.1324402763903585,1,122
TESE1_1_cell_168-181,0.769097305021003,674,1.7007336927271077,1,113
TESE1_1_cell_312-067,0.8786438770901009,810,1.3833415765964858,1,89
TESE1_1_cell_036-086,1.224056274188357,1448,7.984546821884331,1,255
TESE1_1_cell_208-083,0.62251106265103,514,1.306963265713403,1,72
TESE1_1_cell_356-076,0.6840108925845586,536,1.3298123407494,1,78
TESE1_1_cell_175-042,0.6745762595833923,610,3.373969923450126,1,144
TESE1_1_cell_362-008,0.6614726026373279,561,1.4398727992437466,1,101
TESE1_1_cell_206-300,0.715809100107008,640,2.521843399012276,1,129
TESE1_1_cell_362-325,0.5611859481434488,470,1.3323721252158867,1,79
TESE1_1_cell_190-087,0.47505124315131925,360,1.1082130535261807,1,41
TESE1_1_cell_130-031,0.572542450830038,509,1.4392742836801453,1,98
TESE1_1_cell_033-064,0.5879174083134201,463,1.4396573625875468,1,100
TESE1_1_cell_305-024,0.6986869883641507,717,6.73240601388621,1,220
TESE1_1_cell_051-125,0.8129508769338317,808,1.320361524338198,1,76
TESE1_1_cell_250-362,0.6340422807635666,572,2.8724593906381686,1,135
TESE1_1_cell_320-287,0.733105927275813,748,1.4775590190480334,1,108
TESE1_1_cell_001-007,0.4491933601110856,322,0.8710245347148752,1,13
TESE1_1_cell_366-191,0.5781333444603587,447,1.3010522637313862,1,71
TESE1_1_cell_254-357,0.6490678073950537,698,1.2870305658402752,1,69
TESE1_1_cell_168-184,0.5844230997944696,548,2.1018996109364974,1,121
TESE1_1_cell_202-270,0.4607245782236222,363,1.7326422700731634,1,117
TESE1_1_cell_093-034,0.6270536637256656,627,8.178019134448714,1,259
TESE1_1_cell_030-196,0.4479703521294529,416,1.2030485502012531,1,50
TESE1_1_cell_035-255,0.46649018727989056,443,1.1232813771088044,1,43
TESE1_1_cell_020-021,0.4119789743842629,338,1.142324330498038,1,46
TESE1_1_cell_349-001,0.33003743961487386,293,1.0830037899044365,1,37
TESE1_1_cell_121-278,0.29020232249883826,251,1.2137787794737256,1,56
TESE1_1_cell_180-012,0.33702605665277485,296,1.2072869368007815,1,51
TESE1_1_cell_207-259,0.2825148437571472,209,0.9032496019329825,1,14
TESE1_1_cell_319-090,0.3331823172819293,294,1.3570242004336843,1,82
TESE1_1_cell_333-042,0.23324509363994528,165,0.9565025271483238,1,21
TESE1_1_cell_146-171,0.24145671865947893,165,0.7764097215194253,1,8
TESE1_1_cell_145-021,0.22084029839767103,177,0.9297982367811201,1,19
TESE1_1_cell_132-324,0.28006882779388187,216,1.0176395276149972,1,25
TESE1_2_cell_005-088,1.2549809045810687,1188,5.568372593578477,1,194
TESE1_2_cell_174-050,1.1307582367323787,1071,3.5137064945503838,1,150
TESE1_2_cell_018-115,1.2799652104915649,1182,1.4036936438459535,1,92
TESE1_2_cell_276-035,1.4597473837915675,1553,7.195834935689202,1,231
TESE1_2_cell_345-349,0.9656521592119681,834,1.3900769373595396,1,90
TESE1_2_cell_101-167,0.7828998236708575,675,1.3508853873120144,1,80
TESE1_2_cell_103-037,1.0152713401810651,859,2.8762748262675295,1,136
TESE1_2_cell_055-058,0.9340286671154662,788,4.022468919919668,1,168
TESE1_2_cell_033-001,1.0413039386472462,1046,5.7163987323503855,1,197
TESE1_2_cell_085-181,0.8241326641944733,722,1.2620785161555579,1,65
TESE1_2_cell_048-234,0.6944938181414101,649,1.9044133517174364,1,119
TESE1_2_cell_061-030,0.9801535395656127,875,2.2324837478212394,1,124
TESE1_2_cell_026-024,0.7827251082449099,677,5.459530829233647,1,192
TESE1_2_cell_207-018,0.7715433209842684,640,1.2165610341770197,1,58
TESE1_2_cell_082-012,0.8531354249017623,796,3.5047548399093085,1,149
TESE1_2_cell_116-150,0.8744507068673604,755,2.739476371185049,1,133
TESE1_2_cell_208-374,0.6770222755466576,574,1.0465936657963655,1,30
TESE1_2_cell_010-096,0.7886654327271257,682,1.3639286424324681,1,84
TESE1_2_cell_164-045,0.6473206531355784,508,1.049245772310086,1,31
TESE1_2_cell_253-044,0.8498158318087594,777,2.6707216042291178,1,131
