CELLNAME,Size_Factor,num_genes_expressed,Pseudotime,State,ORDER
Mouse_4m_1_cell_267-213,0.5427435655654961,656,0.36842694196811415,1,47
Mouse_4m_1_cell_105-290,0.44340275773921856,508,0.6279162522972987,1,152
Mouse_4m_1_cell_121-252,0.3829849564881491,480,0.48816277003759334,1,102
Mouse_4m_1_cell_042-260,0.35364746645758177,390,0.2757416146716923,1,18
Mouse_4m_1_cell_202-352,0.3497261187802287,353,0.38840596994516735,1,62
Mouse_4m_1_cell_117-195,0.3440619499129409,364,0.4172220464462834,1,69
Mouse_4m_1_cell_039-234,0.23615227123615112,192,0.47750201019352445,1,97
Mouse_4m_1_cell_234-355,0.24210691030176132,233,0.3347552793505643,1,35
Mouse_4m_2_cell_177-270,0.6281418038722961,788,0.49580294018407134,1,106
Mouse_4m_2_cell_323-091,0.5247344132695043,677,0.48278391978618396,1,101
Mouse_4m_2_cell_015-024,0.45995955904359814,493,0.4577451765352413,1,87
Mouse_4m_2_cell_011-061,0.4496478670031512,522,0.4331949304857621,1,77
Mouse_4m_2_cell_024-187,0.47796871133958996,579,0.6232695735156195,1,150
Mouse_4m_2_cell_092-038,0.30310565194947564,292,0.48861345381381727,1,104
Mouse_4m_2_cell_073-356,0.2869845559425797,286,0.6654866258709362,1,158
Mouse_4m_2_cell_186-118,0.29773195328051033,299,0.46053416534723085,1,88
Mouse_4m_2_cell_244-163,0.30702699962682867,331,0.38644917089766806,1,60
Mouse_4m_2_cell_130-004,0.35829498963074097,390,0.5628596304054394,1,128
Mouse_4m_2_cell_036-089,0.30615558903186135,327,0.38597762092069304,1,57
Mouse_4m_2_cell_012-125,0.2951177214956083,290,0.4546830292749128,1,86
Mouse_4m_2_cell_204-374,0.20420054942068172,202,0.38233862528329843,1,52
Mouse_4m_2_cell_245-208,0.30266994665199193,347,0.6392687066359395,1,155
Mouse_4m_2_cell_163-312,0.20042443684248987,192,0.591724796004919,1,139
Mouse_4m_2_cell_058-010,0.19083892029784905,184,0.8768168754410078,1,196
Mouse_4m_1_cell_121-187,0.8808508764128269,1158,0.7258669665399432,1,168
Mouse_4m_1_cell_181-102,0.5296724066409859,678,0.5629841381436523,1,129
Mouse_4m_1_cell_184-012,0.4259745458398716,465,0.43856532742447785,1,78
Mouse_4m_1_cell_176-011,0.3141435194857287,342,0.3844247414138095,1,54
Mouse_4m_1_cell_302-061,0.3145792247832124,328,0.4460147308177131,1,82
Mouse_4m_1_cell_150-207,0.30020094996625113,322,0.554959992503404,1,127
Mouse_4m_1_cell_061-255,0.21625506265106334,193,0.3497550637815446,1,38
Mouse_4m_1_cell_304-062,0.2803037413811634,323,1.0537479315215754,1,211
Mouse_4m_1_cell_116-277,0.2325213937571205,211,0.47173889133708863,1,94
Mouse_4m_1_cell_290-214,0.23121427786466947,235,0.48246964483343663,1,100
Mouse_4m_1_cell_256-005,0.2727515162247797,273,0.4664340104727498,1,92
Mouse_4m_1_cell_325-103,0.18982227460372048,185,0.31490064748024155,1,28
Mouse_4m_1_cell_029-285,0.24994960565646746,232,0.40511414875974977,1,68
Mouse_4m_1_cell_105-247,0.202457728230747,200,0.36186203768365055,1,43
Mouse_4m_2_cell_096-314,0.5211035357904736,628,0.804295872543593,1,180
Mouse_4m_2_cell_020-157,0.40796539354387973,466,0.6210857650946058,1,149
Mouse_4m_2_cell_058-120,0.30702699962682867,329,0.3993062385732429,1,66
Mouse_4m_2_cell_077-177,0.3041222976436042,293,0.7537179428644575,1,170
Mouse_4m_2_cell_127-012,0.35451887705254914,368,0.8611721319926321,1,193
Mouse_4m_2_cell_101-022,0.3709304432577675,444,0.6133547792559063,1,144
Mouse_4m_2_cell_275-239,0.32808608900520625,365,0.5204091538746307,1,118
Mouse_4m_2_cell_039-058,0.19737449976010416,178,1.2887972727538979,1,230
Mouse_4m_2_cell_154-025,0.34217389362384504,378,0.3990981113386822,1,64
Mouse_4m_2_cell_378-142,0.35829498963074097,419,0.362199458192198,1,44
Mouse_4m_2_cell_303-266,0.24907819506150009,262,0.3644369614687324,1,45
Mouse_4m_2_cell_037-076,0.27028251953903887,259,0.5441108698754313,1,125
Mouse_4m_2_cell_243-125,0.28349891356271034,306,0.6037667319047372,1,142
Mouse_4m_2_cell_247-322,0.3004914201645736,319,0.6924113527457979,1,162
Mouse_4m_2_cell_361-370,0.2466091983757593,258,2.0548290553490873,1,281
Mouse_4m_2_cell_224-056,0.20928377789132457,185,0.49980838305751507,1,111
Mouse_4m_2_cell_281-346,0.27507527781135926,314,0.4794017819897568,1,98
Mouse_4m_2_cell_070-078,0.24835201956569397,253,0.5099281099029009,1,114
Mouse_4m_2_cell_116-166,0.21509318185777354,215,0.6199641115277644,1,148
Mouse_4m_2_cell_172-219,0.2254048738982205,230,0.49964484806547527,1,110
Mouse_4m_2_cell_058-007,0.2130598904695164,211,0.4743301557600831,1,95
Mouse_4m_2_cell_316-016,0.2248239335015756,229,0.42541335383018763,1,74
Mouse_4m_1_cell_321-333,0.45371444977966546,543,0.6594357505093206,1,157
Mouse_4m_1_cell_123-382,0.30150806585870216,312,0.5320752966349428,1,121
Mouse_4m_1_cell_314-167,0.26650640696084704,289,0.5876526095229193,1,135
Mouse_4m_1_cell_101-383,0.23571656593866744,247,0.3682926803146777,1,46
Mouse_4m_1_cell_357-282,0.1976649699584266,193,0.4608325952409061,1,89
Mouse_4m_1_cell_332-226,0.2159645924527409,208,0.9369254915784113,1,204
Mouse_4m_1_cell_244-182,0.1880794534137858,179,0.4400367016429678,1,79
Mouse_4m_2_cell_178-011,0.3555355227466777,375,0.42224044263324795,1,70
Mouse_4m_2_cell_158-143,0.4786948868353961,584,0.5131983199085715,1,115
Mouse_4m_2_cell_012-120,0.40622257235394504,485,0.379094654090873,1,50
Mouse_4m_2_cell_334-347,0.27028251953903887,308,0.44965811861266924,1,84
