HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
652	ARF1	ADP ribosylation factor 1	Approved			1q42.13	M84326	NM_001024227		ARF GTPase family	357
654	ARF3	ADP ribosylation factor 3	Approved			12q13.12	M74491	NM_001659		ARF GTPase family	357
655	ARF4	ADP ribosylation factor 4	Approved	ARF2		3p14.3	M36341	NM_001660		ARF GTPase family	357
658	ARF5	ADP ribosylation factor 5	Approved			7q32.1		NM_001662		ARF GTPase family	357
659	ARF6	ADP ribosylation factor 6	Approved			14q21.3		NM_001663		ARF GTPase family	357
660	TRIM23	tripartite motif containing 23	Approved	ARFD1	ARD1, RNF46	5q12.3	L04510	NM_001656		ARF GTPase family	357
692	ARL1	ADP ribosylation factor like GTPase 1	Approved		ARFL1	12q23.2	BX537387	NM_001177		ARF GTPase family	357
22042	ARL10	ADP ribosylation factor like GTPase 10	Approved	ARL10A		5q35.2	BK001673	NM_173664		ARF GTPase family	357
24046	ARL11	ADP ribosylation factor like GTPase 11	Approved		ARLTS1, FLJ33930	13q14.2	AF441378	NM_138450		ARF GTPase family	357
31709	ARL13A	ADP ribosylation factor like GTPase 13A	Approved	ARL13		Xq22.1		NM_001162491		ARF GTPase family	357
25419	ARL13B	ADP ribosylation factor like GTPase 13B	Approved	ARL2L1	DKFZp761H079, JBTS8	3q11.1-q11.2	AL713789	NM_182896		ARF GTPase family	357
22974	ARL14	ADP ribosylation factor like GTPase 14	Approved	ARF7	FLJ22595	3q25.33	AK026248	NM_025047		ARF GTPase family	357
25945	ARL15	ADP ribosylation factor like GTPase 15	Approved	ARFRP2	FLJ20051	5q11.2	BC026093	NM_019087		ARF GTPase family	357
27902	ARL16	ADP ribosylation factor like GTPase 16	Approved			17q25.3		NM_001040025		ARF GTPase family	357
24096	ARL17A	ADP ribosylation factor like GTPase 17A	Approved	ARF1P2, ARL17P1		17q21.31	AF208864	NM_016632		ARF GTPase family	357
32387	ARL17B	ADP ribosylation factor like GTPase 17B	Approved	ARL17		17q21.31	AF493886	NM_001039083		ARF GTPase family	357
662	ARFRP1	ADP ribosylation factor related protein 1	Approved		ARP, Arp1, ARL18	20q13.33	X91504			ARF GTPase family	357
693	ARL2	ADP ribosylation factor like GTPase 2	Approved		ARFL2	11q13.1	AF493888	NM_001667		ARF GTPase family	357
694	ARL3	ADP ribosylation factor like GTPase 3	Approved		ARFL3	10q24.32	U07151	NM_004311		ARF GTPase family	357
695	ARL4A	ADP ribosylation factor like GTPase 4A	Approved	ARL4		7p21.3	U73960	NM_005738		ARF GTPase family	357
698	ARL4C	ADP ribosylation factor like GTPase 4C	Approved	ARL7	LAK	2q37.1	AB016811	NM_005737		ARF GTPase family	357
656	ARL4D	ADP ribosylation factor like GTPase 4D	Approved	ARF4L		17q21.31	AB060692	NM_001661		ARF GTPase family	357
696	ARL5A	ADP ribosylation factor like GTPase 5A	Approved	ARL5		2q23.3	AF100740	NM_012097		ARF GTPase family	357
23052	ARL5B	ADP ribosylation factor like GTPase 5B	Approved	ARL8		10p12.31	AF494061	NM_178815		ARF GTPase family	357
31111	ARL5C	ADP ribosylation factor like GTPase 5C	Approved	ARL12		17q12		NM_001143968		ARF GTPase family	357
13210	ARL6	ADP ribosylation factor like GTPase 6	Approved	BBS3	RP55	3q11.2	BC024239	NM_032146		ARF GTPase family	357
25192	ARL8A	ADP ribosylation factor like GTPase 8A	Approved	ARL10B	FLJ45195, Gie2	1q32.1	BC015408	NM_138795		ARF GTPase family	357
25564	ARL8B	ADP ribosylation factor like GTPase 8B	Approved	ARL10C	FLJ10702, Gie1	3p26.1	AK001564	NM_018184		ARF GTPase family	357
23592	ARL9	ADP ribosylation factor like GTPase 9	Approved			4q12	AY439003	NM_206919		ARF GTPase family	357
10534	SAR1A	secretion associated Ras related GTPase 1A	Approved	SARA1	SAR1, Sara	10q22.1				ARF GTPase family	357
10535	SAR1B	secretion associated Ras related GTPase 1B	Approved	SARA2		5q31.1	AF092130	NM_016103		ARF GTPase family	357
21168	RHOT1	ras homolog family member T1	Approved	ARHT1	MIRO-1, FLJ11040	17q11.2	AJ517412	NM_018307		Miro like atypical Rho GTPases	392
21169	RHOT2	ras homolog family member T2	Approved	C16orf39, ARHT2	MIRO-2	16p13.3	BC014942	NM_138769		Miro like atypical Rho GTPases	392
9799	RABL2A	RAB, member of RAS oncogene family like 2A	Approved			2q14.1			RABL	RAB like GTPases	394
9800	RABL2B	RAB, member of RAS oncogene family like 2B	Approved			22q13.33		NM_001003789	RABL	RAB like GTPases	394
18072	RABL3	RAB, member of RAS oncogene family like 3	Approved		MGC23920	3q13.33	BC020832	NM_173825	RABL	RAB like GTPases	394
21895	IFT22	intraflagellar transport 22	Approved	RABL5	FLJ14117, FLJ13225, DKFZp761N0823	7q22.1	AK024179	NM_022777	RABL	RAB like GTPases	394
24703	RABL6	RAB, member RAS oncogene family like 6	Approved	C9orf86	FLJ10101, FLJ13045, pp8875, bA216L13.9, Parf, RBEL1	9q34.3	AK094382	NM_024718	RABL	RAB like GTPases	394
9759	RAB10	RAB10, member RAS oncogene family	Approved			2p23.3	AF106681	NM_016131	RAB	RAB, member RAS oncogene GTPases	388
9760	RAB11A	RAB11A, member RAS oncogene family	Approved		YL8	15q22.31	X56740		RAB	RAB, member RAS oncogene GTPases	388
9761	RAB11B	RAB11B, member RAS oncogene family	Approved		H-YPT3	19p13.2	X79780	NM_004218	RAB	RAB, member RAS oncogene GTPases	388
31332	RAB12	RAB12, member RAS oncogene family	Approved			18p11.22		XM_113967	RAB	RAB, member RAS oncogene GTPases	388
9762	RAB13	RAB13, member RAS oncogene family	Approved			1q21.3	X75593	NM_002870	RAB	RAB, member RAS oncogene GTPases	388
16524	RAB14	RAB14, member RAS oncogene family	Approved		FBP, RAB-14	9q33.2	AF152463	NM_016322	RAB	RAB, member RAS oncogene GTPases	388
20150	RAB15	RAB15, member RAS oncogene family	Approved			14q23.3	BC014511	NM_198686	RAB	RAB, member RAS oncogene GTPases	388
16523	RAB17	RAB17, member RAS oncogene family	Approved			2q37.3	AK022600		RAB	RAB, member RAS oncogene GTPases	388
14244	RAB18	RAB18, member RAS oncogene family	Approved			10p12.1	AJ277145	NM_021252	RAB	RAB, member RAS oncogene GTPases	388
19982	RAB19	RAB19, member RAS oncogene family	Approved		RAB19B	7q34			RAB	RAB, member RAS oncogene GTPases	388
9758	RAB1A	RAB1A, member RAS oncogene family	Approved	RAB1	YPT1	2p14	M28209	NM_004161	RAB	RAB, member RAS oncogene GTPases	388
18370	RAB1B	RAB1B, member RAS oncogene family	Approved			11q13.2	AJ245875	NM_030981	RAB	RAB, member RAS oncogene GTPases	388
23683	RAB1C	RAB1C, member RAS oncogene family pseudogene	Approved			9p13.2			RAB	RAB, member RAS oncogene GTPases	388
18260	RAB20	RAB20, member RAS oncogene family	Approved		FLJ20429	13q34	AK000436	NM_017817	RAB	RAB, member RAS oncogene GTPases	388
18263	RAB21	RAB21, member RAS oncogene family	Approved		KIAA0118	12q21.1	AF091035		RAB	RAB, member RAS oncogene GTPases	388
9764	RAB22A	RAB22A, member RAS oncogene family	Approved			20q13.32	AF091034		RAB	RAB, member RAS oncogene GTPases	388
14263	RAB23	RAB23, member RAS oncogene family	Approved			6p12.1-p11.2	AB034244		RAB	RAB, member RAS oncogene GTPases	388
9765	RAB24	RAB24, member RAS oncogene family	Approved			5q35.3	AF087904	NM_130781	RAB	RAB, member RAS oncogene GTPases	388
18238	RAB25	RAB25, member RAS oncogene family	Approved		CATX-8	1q22	AF083124		RAB	RAB, member RAS oncogene GTPases	388
14259	RAB26	RAB26, member RAS oncogene family	Approved			16p13.3	AB027137		RAB	RAB, member RAS oncogene GTPases	388
9766	RAB27A	RAB27A, member RAS oncogene family	Approved		RAB27, RAM, GS2, HsT18676	15q21.3	U38654	NM_004580, NM_183236	RAB	RAB, member RAS oncogene GTPases	388
9767	RAB27B	RAB27B, member RAS oncogene family	Approved			18q21.2	U57093	NM_004163	RAB	RAB, member RAS oncogene GTPases	388
9768	RAB28	RAB28, member RAS oncogene family	Approved			4p15.33	X94703	NM_001017979	RAB	RAB, member RAS oncogene GTPases	388
9789	RAB29	RAB29, member RAS oncogene family	Approved	RAB7L, RAB7L1		1q32.1	D84488	NM_003929	RAB	RAB, member RAS oncogene GTPases	388
9763	RAB2A	RAB2A, member RAS oncogene family	Approved	RAB2		8q12.1-q12.2			RAB	RAB, member RAS oncogene GTPases	388
