Chr	Input_vcf_num	output_SNV_num	Reassign_ref_acd_AA(only)	Swap_VCF_ref&alt(only)	reassign_AA&Correcting_VCF	percentage
chr1	5736028	5774975	0	2	0	3.46322E-07
chr2	4844176	4873504	0	1	0	2.05191E-07
chr3	4675702	4707577	0	4	0	8.49694E-07
chr4	4350517	4383531	0	3	0	6.8438E-07
chr5	4290997	4320050	0	2	0	4.62958E-07
chr6	4309151	4341989	0	7	0	1.61216E-06
chr7	3935419	3966831	0	1	0	2.5209E-07
chr8	3691248	3720717	0	6	0	1.61259E-06
chr9	3465132	3487328	0	1	0	2.86752E-07
chr10	3764688	3789133	0	5	0	1.31956E-06
chr11	3353834	3376835	0	1	0	2.96135E-07
chr12	3436526	3463960	0	0	0	0
chr13	3372041	3395877	0	2	0	5.88949E-07
chr14	3385189	3412268	0	4	0	1.17224E-06
chr15	3015611	3034847	0	1	0	3.29506E-07
chr16	2794648	2812359	0	2	0	7.11147E-07
chr17	2776209	2796418	0	1	0	3.576E-07
chr18	2573505	2591317	0	0	0	0
chr19	1707262	1719294	0	0	0	0
chrX	3070138	3086145	0	3	0	9.72087E-07
chrY	22155	22277	0	5	0	0.000224447
chrMT	79	79	0	0	0	0
Sum	72570255	73077311	0	51	0	6.97891E-07
						
						
						
