HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
14253	CERS1	ceramide synthase 1	Approved	LASS1	LAG1, UOG1	19p13.11	AF105005		CERS	CERS class homeoboxes	530
14076	CERS2	ceramide synthase 2	Approved	LASS2	SP260, FLJ10243	1q21.3	AF189062	NM_022075	CERS	CERS class homeoboxes	530
23752	CERS3	ceramide synthase 3	Approved	LASS3	MGC27091	15q26.3		NM_178842	CERS	CERS class homeoboxes	530
23747	CERS4	ceramide synthase 4	Approved	LASS4	FLJ12089, Trh1	19p13.2		NM_024552	CERS	CERS class homeoboxes	530
23749	CERS5	ceramide synthase 5	Approved	LASS5	Trh4, MGC45411, FLJ25304	12q13.12		NM_147190	CERS	CERS class homeoboxes	530
23826	CERS6	ceramide synthase 6	Approved	LASS6		2q24.3	BX393696	NM_203463	CERS	CERS class homeoboxes	530
2557	CUX1	cut like homeobox 1	Approved	CUTL1	CDP, CDP1, CUX, CUT, Clox, CDP/Cut, CDP/Cux, Cux/CDP, CASP, GOLIM6	7q22.1	M74099	NM_001913		CUT class homeoboxes and pseudogenes	527
19347	CUX2	cut like homeobox 2	Approved	CUTL2	KIAA0293, CDP2	12q24.11-q24.12	AB006631	NM_015267		CUT class homeoboxes and pseudogenes	527
33694	CUX2P1	cut like homeobox 2 pseudogene 1	Approved			10p14				CUT class homeoboxes and pseudogenes	527
33695	CUX2P2	cut like homeobox 2 pseudogene 2	Approved			4q32.1				CUT class homeoboxes and pseudogenes	527
8138	ONECUT1	one cut homeobox 1	Approved	HNF6, HNF6A	HNF-6	15q21.3	U77975			CUT class homeoboxes and pseudogenes	527
8139	ONECUT2	one cut homeobox 2	Approved		OC-2	18q21.31	Y18198			CUT class homeoboxes and pseudogenes	527
13399	ONECUT3	one cut homeobox 3	Approved			19p13.3	AC004755			CUT class homeoboxes and pseudogenes	527
10541	SATB1	SATB homeobox 1	Approved			3p24.3		NM_001131010		CUT class homeoboxes and pseudogenes	527
21637	SATB2	SATB homeobox 2	Approved		KIAA1034, FLJ21474	2q33.1	AB028957	NM_015265		CUT class homeoboxes and pseudogenes	527
26137	HMBOX1	homeobox containing 1	Approved		HNF1LA, PBHNF, FLJ21616, HOT1	8p21.1-p12	AY522342	NM_024567		HNF class homeoboxes	524
11621	HNF1A	HNF1 homeobox A	Approved	MODY3, TCF1	HNF1, LFB1	12q24.31	M57732	NM_000545		HNF class homeoboxes	524
11630	HNF1B	HNF1 homeobox B	Approved	TCF2	LFB3, VHNF1, HNF1beta, MODY5	17q12	BC017714	NM_000458		HNF class homeoboxes	524
1805	CDX1	caudal type homeobox 1	Approved			5q32	U51095	NM_001804		HOXL subclass homeoboxes	518
1806	CDX2	caudal type homeobox 2	Approved	CDX3		13q12.2	Y13709			HOXL subclass homeoboxes	518
1808	CDX4	caudal type homeobox 4	Approved			Xq13.2	AF029879	NM_005193		HOXL subclass homeoboxes	518
3506	EVX1	even-skipped homeobox 1	Approved			7p15.2				HOXL subclass homeoboxes	518
3507	EVX2	even-skipped homeobox 2	Approved			2q31.1				HOXL subclass homeoboxes	518
4185	GBX1	gastrulation brain homeobox 1	Approved			7q36.1	L11239			HOXL subclass homeoboxes	518
4186	GBX2	gastrulation brain homeobox 2	Approved			2q37.2	AF118452	NM_001485		HOXL subclass homeoboxes	518
20374	GSX1	GS homeobox 1	Approved	GSH1	Gsh-1	13q12.2	AB044157	NM_145657		HOXL subclass homeoboxes	518
24959	GSX2	GS homeobox 2	Approved		Gsh2	4q12		NM_133267		HOXL subclass homeoboxes	518
5099	HOXA1	homeobox A1	Approved	HOX1F, HOX1		7p15.2				HOXL subclass homeoboxes	518
5100	HOXA10	homeobox A10	Approved	HOX1H, HOX1		7p15.2				HOXL subclass homeoboxes	518
5101	HOXA11	homeobox A11	Approved	HOX1I, HOX1		7p15.2				HOXL subclass homeoboxes	518
5102	HOXA13	homeobox A13	Approved	HOX1J, HOX1		7p15.2				HOXL subclass homeoboxes	518
5103	HOXA2	homeobox A2	Approved	HOX1K		7p15.2				HOXL subclass homeoboxes	518
5104	HOXA3	homeobox A3	Approved	HOX1E, HOX1		7p15.2				HOXL subclass homeoboxes	518
5105	HOXA4	homeobox A4	Approved	HOX1D, HOX1		7p15.2				HOXL subclass homeoboxes	518
5106	HOXA5	homeobox A5	Approved	HOX1C, HOX1		7p15.2				HOXL subclass homeoboxes	518
5107	HOXA6	homeobox A6	Approved	HOX1B, HOX1		7p15.2				HOXL subclass homeoboxes	518
5108	HOXA7	homeobox A7	Approved	HOX1A, HOX1		7p15.2				HOXL subclass homeoboxes	518
5109	HOXA9	homeobox A9	Approved	HOX1G, HOX1		7p15.2				HOXL subclass homeoboxes	518
5111	HOXB1	homeobox B1	Approved	HOX2, HOX2I		17q21.32				HOXL subclass homeoboxes	518
5112	HOXB13	homeobox B13	Approved			17q21.32	U57052	NM_006361		HOXL subclass homeoboxes	518
5113	HOXB2	homeobox B2	Approved	HOX2, HOX2H		17q21.32				HOXL subclass homeoboxes	518
5114	HOXB3	homeobox B3	Approved	HOX2, HOX2G		17q21.32				HOXL subclass homeoboxes	518
5115	HOXB4	homeobox B4	Approved	HOX2, HOX2F		17q21.32				HOXL subclass homeoboxes	518
5116	HOXB5	homeobox B5	Approved	HOX2, HOX2A		17q21.32				HOXL subclass homeoboxes	518
5117	HOXB6	homeobox B6	Approved	HOX2, HOX2B		17q21.32				HOXL subclass homeoboxes	518
5118	HOXB7	homeobox B7	Approved	HOX2, HOX2C		17q21.32				HOXL subclass homeoboxes	518
5119	HOXB8	homeobox B8	Approved	HOX2, HOX2D		17q21.32				HOXL subclass homeoboxes	518
5120	HOXB9	homeobox B9	Approved	HOX2E, HOX2		17q21.32				HOXL subclass homeoboxes	518
5122	HOXC10	homeobox C10	Approved	HOX3I		12q13.13				HOXL subclass homeoboxes	518
5123	HOXC11	homeobox C11	Approved	HOX3H		12q13.13				HOXL subclass homeoboxes	518
