HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
24086	A1CF	APOBEC1 complementation factor	Approved		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q11.23	AF271790	NM_014576	RBM	RNA binding motif containing	725
25189	ALKBH8	alkB homolog 8, tRNA methyltransferase	Approved		MGC10235, TRM9, TRMT9A	11q22.3	AF086489	NM_138775	RBM	RNA binding motif containing	725
19071	ALYREF	Aly/REF export factor	Approved	THOC4	ALY, BEF, ALY/REF, REF	17q25.3	AF047002	NM_005782	RBM	RNA binding motif containing	725
14273	BOLL	boule homolog, RNA binding protein	Approved		BOULE	2q33.1		NM_033030	RBM	RNA binding motif containing	725
2549	CELF1	CUGBP Elav-like family member 1	Approved	CUGBP1	CUG-BP, hNab50, BRUNOL2, NAB50, CUGBP, NAPOR, EDEN-BP	11p11.2	U63289	NM_006560	RBM	RNA binding motif containing	725
2550	CELF2	CUGBP Elav-like family member 2	Approved	CUGBP2	Etr-3, NAPOR-2, BRUNOL3	10p14	U69546		RBM	RNA binding motif containing	725
11967	CELF3	CUGBP Elav-like family member 3	Approved	TNRC4	CAGH4, BRUNOL1, ERDA4, MGC57297	1q21.3	U80759	NM_007185	RBM	RNA binding motif containing	725
14015	CELF4	CUGBP Elav-like family member 4	Approved	BRUNOL4		18q12.2	AF248651	NM_020180	RBM	RNA binding motif containing	725
14058	CELF5	CUGBP Elav-like family member 5	Approved	BRUNOL5		19p13.3	AF248649	NM_021938	RBM	RNA binding motif containing	725
14059	CELF6	CUGBP Elav-like family member 6	Approved	BRUNOL6		15q23	AF425606	NM_052840	RBM	RNA binding motif containing	725
1982	CIRBP	cold inducible RNA binding protein	Approved		CIRP	19p13.3	D78134	NM_001280	RBM	RNA binding motif containing	725
7880	CNOT4	CCR4-NOT transcription complex subunit 4	Approved	NOT4	CLONE243, NOT4H	7q33	AF180475	NM_013316	RBM	RNA binding motif containing	725
