HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
347	AHNAK	AHNAK nucleoprotein	Approved		MGC5395	11q12.3	M80899	NM_024060	PDZ	PDZ domain containing	1220
20125	AHNAK2	AHNAK nucleoprotein 2	Approved	C14orf78		14q32.33	AB095939	NM_138420	PDZ	PDZ domain containing	1220
578	APBA1	amyloid beta precursor protein binding family A member 1	Approved	MINT1	D9S411E, X11	9q21.12	AF029106	NM_001163	PDZ	PDZ domain containing	1220
579	APBA2	amyloid beta precursor protein binding family A member 2	Approved	X11L, MINT2	D15S1518E, LIN-10, MGC:14091, HsT16821	15q13.1	AB014719	NM_005503	PDZ	PDZ domain containing	1220
580	APBA3	amyloid beta precursor protein binding family A member 3	Approved		X11L2, mint3	19p13.3	AB021638		PDZ	PDZ domain containing	1220
23725	ARHGAP21	Rho GTPase activating protein 21	Approved		KIAA1424, ARHGAP10	10p12.1	AF480466	NM_020824	PDZ	PDZ domain containing	1220
29293	ARHGAP23	Rho GTPase activating protein 23	Approved		KIAA1501	17q12	AB040934	NM_001199417	PDZ	PDZ domain containing	1220
14580	ARHGEF11	Rho guanine nucleotide exchange factor 11	Approved		KIAA0380, GTRAP48, PDZ-RHOGEF	1q23.1	AB002378	NM_198236	PDZ	PDZ domain containing	1220
14193	ARHGEF12	Rho guanine nucleotide exchange factor 12	Approved		KIAA0382, LARG	11q23.3	AF180681	NM_015313	PDZ	PDZ domain containing	1220
16393	CARD11	caspase recruitment domain family member 11	Approved		CARMA1, BIMP3	7p22.2	AF322641	NM_032415	PDZ	PDZ domain containing	1220
16446	CARD14	caspase recruitment domain family member 14	Approved	PSORS2	CARMA2, BIMP2	17q25.3	AF322642		PDZ	PDZ domain containing	1220
1497	CASK	calcium/calmodulin dependent serine protein kinase	Approved	TNRC8	LIN2, CAGH39, FGS4	Xp11.4	AF035582	NM_003688	PDZ	PDZ domain containing	1220
19700	CNKSR1	connector enhancer of kinase suppressor of Ras 1	Approved		CNK1, KSR, CNK	1p36.11	AF100153	NM_006314	PDZ	PDZ domain containing	1220
19701	CNKSR2	connector enhancer of kinase suppressor of Ras 2	Approved		KIAA0902, CNK2, KSR2	Xp22.12	AB020709	NM_014927	PDZ	PDZ domain containing	1220
23034	CNKSR3	CNKSR family member 3	Approved	MAGI1	FLJ31349	6q25.2	AK055911	NM_173515	PDZ	PDZ domain containing	1220
9506	CYTIP	cytohesin 1 interacting protein	Approved	PSCDBP	B3-1, HE, CYBR, CASP, CYTHIP	2q24.1	L06633	NM_004288	PDZ	PDZ domain containing	1220
22953	DEPTOR	DEP domain containing MTOR interacting protein	Approved	DEPDC6	DEP.6, FLJ12428	8q24.12		NM_022783	PDZ	PDZ domain containing	1220
16361	WHRN	whirlin	Approved	DFNB31	CIP98, USH2D, PDZD7B	9q32	AK056190	NM_015404	PDZ	PDZ domain containing	1220
