HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
6602	LILRA1	leukocyte immunoglobulin like receptor A1	Approved		LIR-6, CD85i, LIR6	19q13.42	AF025530	NM_006863	LILRA	Activating leukocyte immunoglobulin like receptors	1181
6603	LILRA2	leukocyte immunoglobulin like receptor A2	Approved		LIR-7, ILT1, CD85h, LIR7	19q13.4	U82275		LILRA	Activating leukocyte immunoglobulin like receptors	1181
6604	LILRA3	leukocyte immunoglobulin like receptor A3	Approved		LIR-4, HM43, ILT6, HM31, LIR4, CD85e	19q13.4 alternate reference locus	U91926		LILRA	Activating leukocyte immunoglobulin like receptors	1181
15503	LILRA4	leukocyte immunoglobulin like receptor A4	Approved		ILT7, CD85g	19q13.42	AF041261	NM_012276	LILRA	Activating leukocyte immunoglobulin like receptors	1181
16309	LILRA5	leukocyte immunoglobulin like receptor A5	Approved	LILRB7	ILT11, LIR9, CD85, CD85f	19q13.42	AF212842	NM_181985	LILRA	Activating leukocyte immunoglobulin like receptors	1181
15495	LILRA6	leukocyte immunoglobulin like receptor A6	Approved	LILRB6	ILT8, CD85b	19q13.42	AF041262	NM_024318	LILRA	Activating leukocyte immunoglobulin like receptors	1181
1116	BSG	basigin (Ok blood group)	Approved	OK	EMMPRIN, CD147, EMPRIN	19p13.3	L10240	NM_001728		Basigin family 	1669
30465	EMB	embigin	Approved		MGC71745	5q11.1	BC059398	NM_198449		Basigin family 	1669
17867	NPTN	neuroplastin	Approved	SDFR1	SDR1, GP55, GP65, np65, np55	15q24.1	AF035287	NM_012428		Basigin family 	1669
910	AZGP1	alpha-2-glycoprotein 1, zinc-binding	Approved		ZA2G, ZAG	7q22.1	BC005306	NM_001185		C1-set domain containing	591
914	B2M	beta-2-microglobulin	Approved			15q21.1	AB021288	NM_004048		C1-set domain containing	591
1634	CD1A	CD1a molecule	Approved	CD1		1q23.1	M28825	NM_001763		C1-set domain containing	591
1635	CD1B	CD1b molecule	Approved	CD1		1q23.1	M28826	NM_001764		C1-set domain containing	591
1636	CD1C	CD1c molecule	Approved	CD1		1q23.1	M28827	NM_001765		C1-set domain containing	591
1637	CD1D	CD1d molecule	Approved			1q23.1	BC027926	NM_001766		C1-set domain containing	591
1638	CD1E	CD1e molecule	Approved			1q23.1	AJ289111	NM_030893		C1-set domain containing	591
3621	FCGRT	Fc fragment of IgG receptor and transporter	Approved		FCRN, alpha-chain	19q13.33	U12255			C1-set domain containing	591
4886	HFE	homeostatic iron regulator	Approved		HLA-H	6p22.2				C1-set domain containing	591
4905	HHLA2	HERV-H LTR-associating 2	Approved		B7H7, B7-H5, B7y	3q13.13	AF126162	NM_007072		C1-set domain containing	591
4931	HLA-A	major histocompatibility complex, class I, A	Approved			6p22.1	D32129	NM_002116		C1-set domain containing	591
4932	HLA-B	major histocompatibility complex, class I, B	Approved	AS		6p21.33	M15470	NM_005514		C1-set domain containing	591
4933	HLA-C	major histocompatibility complex, class I, C	Approved	HLA-JY3, D6S204, PSORS1		6p21.33	M11886	NM_002117		C1-set domain containing	591
4934	HLA-DMA	major histocompatibility complex, class II, DM alpha	Approved		D6S222E, RING6	6p21.32		NM_006120		C1-set domain containing	591
4935	HLA-DMB	major histocompatibility complex, class II, DM beta	Approved		D6S221E, RING7	6p21.32		NM_002118		C1-set domain containing	591
4936	HLA-DOA	major histocompatibility complex, class II, DO alpha	Approved	HLA-DZA, HLA-DNA	HLA-D0-alpha	6p21.32	M31525	NM_002119		C1-set domain containing	591
4937	HLA-DOB	major histocompatibility complex, class II, DO beta	Approved			6p21.32		NM_002120		C1-set domain containing	591
4938	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	Approved	HLA-DP1A		6p21.32	X00457	NM_033554		C1-set domain containing	591
4940	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	Approved	HLA-DP1B		6p21.32		NM_002121		C1-set domain containing	591
4942	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	Approved	HLA-DQA	CELIAC1	6p21.32		NM_002122		C1-set domain containing	591
4943	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	Approved	HLA-DXA		6p21.32		NM_020056		C1-set domain containing	591
4944	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	Approved	HLA-DQB	IDDM1, CELIAC1	6p21.32		NM_002123		C1-set domain containing	591
4945	HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	Approved	HLA-DXB		6p21.32	M83890			C1-set domain containing	591
4947	HLA-DRA	major histocompatibility complex, class II, DR alpha	Approved	HLA-DRA1		6p21.32		NM_019111		C1-set domain containing	591
4948	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	Approved	HLA-DR1B		6p21.32	AJ297583	NM_002124		C1-set domain containing	591
4951	HLA-DRB3	major histocompatibility complex, class II, DR beta 3	Approved	HLA-DR3B		6p21.3 alternate reference locus	BC008987, GL000250, GL000251, GL000255	NM_022555		C1-set domain containing	591
4952	HLA-DRB4	major histocompatibility complex, class II, DR beta 4	Approved	HLA-DR4B		6p21.3 alternate reference locus	GL000253, GL000254, GL000256	NM_021983		C1-set domain containing	591
4953	HLA-DRB5	major histocompatibility complex, class II, DR beta 5	Approved			6p21.32		NM_002125		C1-set domain containing	591
4962	HLA-E	major histocompatibility complex, class I, E	Approved			6p22.1	M20022	NM_005516		C1-set domain containing	591
4963	HLA-F	major histocompatibility complex, class I, F	Approved			6p22.1	AY253269	NM_018950		C1-set domain containing	591
4964	HLA-G	major histocompatibility complex, class I, G	Approved			6p22.1		NM_002127		C1-set domain containing	591
5870	IGLL1	immunoglobulin lambda like polypeptide 1	Approved	IGLL	IGVPB, IGL5, 14.1, CD179B	22q11.23	X52204	NM_020070		C1-set domain containing	591
38476	IGLL5	immunoglobulin lambda like polypeptide 5	Approved			22q11.22	M34518, M34515	NM_001178126		C1-set domain containing	591
7090	MICA	MHC class I polypeptide-related sequence A	Approved		PERB11.1	6p21.33	L14848	NM_001177519		C1-set domain containing	591
7091	MICB	MHC class I polypeptide-related sequence B	Approved		PERB11.2	6p21.33		NM_005931		C1-set domain containing	591
4975	MR1	major histocompatibility complex, class I-related	Approved	HLALS		1q25.3	AF010446	NM_001531		C1-set domain containing	591
42400	NCR3LG1	natural killer cell cytotoxicity receptor 3 ligand 1	Approved		DKFZp686O24166, B7-H6	11p15.1		NM_001202439		C1-set domain containing	591
9662	SIRPA	signal regulatory protein alpha	Approved	PTPNS1	SHPS1, SIRP, MYD-1, BIT, P84, SHPS-1, SIRPalpha, CD172a, SIRPalpha2, MFR, SIRP-ALPHA-1	20p13	D86043	NM_080792		C1-set domain containing	591
15928	SIRPB1	signal regulatory protein beta 1	Approved		SIRP-BETA-1, CD172b	20p13	Y10376	NM_006065		C1-set domain containing	591
15757	SIRPG	signal regulatory protein gamma	Approved	SIRPB2	bA77C3.1, SIRP-B2, SIRPgamma, CD172g	20p13	AB042624	NM_018556		C1-set domain containing	591
11566	TAPBP	TAP binding protein	Approved		TAPA	6p21.32	Y13582			C1-set domain containing	591
30683	TAPBPL	TAP binding protein like	Approved		TAPBP-R, FLJ10143, TAPBPR	12p13.31	AK001005	NM_018009		C1-set domain containing	591
320	AGER	advanced glycosylation end-product specific receptor	Approved		RAGE, SCARJ1	6p21.32	M91211	NM_001136		C2-set domain containing	592
400	ALCAM	activated leukocyte cell adhesion molecule	Approved		CD166, MEMD	3q13.11	AK054632	NM_001627		C2-set domain containing	592
6722	BCAM	basal cell adhesion molecule (Lutheran blood group)	Approved	LU	CD239	19q13.32	X83425	NM_005581		C2-set domain containing	592
1135	BTN1A1	butyrophilin subfamily 1 member A1	Approved	BTN	BT, BTN1	6p22.2	U39576	NM_001732		C2-set domain containing	592
1136	BTN2A1	butyrophilin subfamily 2 member A1	Approved		BT2.1, BTF1, BTN2.1	6p22.2	U90543	NM_007049		C2-set domain containing	592
1137	BTN2A2	butyrophilin subfamily 2 member A2	Approved		BTF2, BT2.2, BTN2.2	6p22.2	U90550			C2-set domain containing	592
1138	BTN3A1	butyrophilin subfamily 3 member A1	Approved		BT3.1, BTF5, CD277, BTN3.1	6p22.2	U90552			C2-set domain containing	592
