HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
7614	MYOM2	myomesin 2	Approved			8p23.3		NM_003970		Fibronectin type III domain containing	555
26679	MYOM3	myomesin 3	Approved		FLJ35961	1p36.11	AK093280	NM_152372		Fibronectin type III domain containing	555
7656	NCAM1	neural cell adhesion molecule 1	Approved		NCAM, CD56	11q23.2		NM_000615		Fibronectin type III domain containing	555
7657	NCAM2	neural cell adhesion molecule 2	Approved		NCAM21, MGC51008	21q21.1		NM_004540		Fibronectin type III domain containing	555
7754	NEO1	neogenin 1	Approved		NGN, HsT17534, IGDCC2, NTN1R2	15q24.1	U61262	NM_002499		Fibronectin type III domain containing	555
29866	NFASC	neurofascin	Approved		NRCAML, KIAA0756, FLJ46866, NF	1q32.1	AK027553	NM_001005388		Fibronectin type III domain containing	555
7908	NPHS1	NPHS1, nephrin	Approved		CNF, NPHN	19q13.12				Fibronectin type III domain containing	555
7994	NRCAM	neuronal cell adhesion molecule	Approved		KIAA0343, Bravo	7q31.1		NM_001037132		Fibronectin type III domain containing	555
15719	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	Approved		KIAA1556, UNC89, KIAA1639, ARHGEF30	1q42.13	AJ002535	NM_052843		Fibronectin type III domain containing	555
8507	OSMR	oncostatin M receptor	Approved		OSMRB	5p13.1	U60805	NM_003999		Fibronectin type III domain containing	555
29378	PHYHIPL	phytanoyl-CoA 2-hydroxylase interacting protein like	Approved		KIAA1796, Em:AC025038.1	10q21.1	AL834339	NM_032439		Fibronectin type III domain containing	555
26373	PRTG	protogenin	Approved		FLJ25756, IGDCC5	15q21.3	AK098622	NM_173814		Fibronectin type III domain containing	555
9665	PTPRB	protein tyrosine phosphatase, receptor type B	Approved	PTPB		12q15	X54131			Fibronectin type III domain containing	555
9666	PTPRC	protein tyrosine phosphatase, receptor type C	Approved	CD45	LCA, T200, GP180	1q31.3-q32.1	Y00062	NM_002838		Fibronectin type III domain containing	555
9668	PTPRD	protein tyrosine phosphatase, receptor type D	Approved		PTPD, HPTP	9p24.1-p23	X54133			Fibronectin type III domain containing	555
9670	PTPRF	protein tyrosine phosphatase, receptor type F	Approved	LAR		1p34.2	Y00815			Fibronectin type III domain containing	555
9671	PTPRG	protein tyrosine phosphatase, receptor type G	Approved	PTPG	RPTPG	3p14.2	L09247	NM_002841		Fibronectin type III domain containing	555
9672	PTPRH	protein tyrosine phosphatase, receptor type H	Approved		SAP-1	19q13.4				Fibronectin type III domain containing	555
9673	PTPRJ	protein tyrosine phosphatase, receptor type J	Approved		DEP1, HPTPeta, CD148	11p11.2	U10886			Fibronectin type III domain containing	555
9674	PTPRK	protein tyrosine phosphatase, receptor type K	Approved		R-PTP-kappa	6q22.33	L77886			Fibronectin type III domain containing	555
9675	PTPRM	protein tyrosine phosphatase, receptor type M	Approved	PTPRL1	RPTPU, hR-PTPu	18p11.23	X58288			Fibronectin type III domain containing	555
9678	PTPRO	protein tyrosine phosphatase, receptor type O	Approved		PTPU2, GLEPP1, PTP-U2, PTP-oc, NPHS6	12p12.3	U20489			Fibronectin type III domain containing	555
9679	PTPRQ	protein tyrosine phosphatase, receptor type Q	Approved	DFNB84		12q21.31	AF169351	NM_001145026		Fibronectin type III domain containing	555
9681	PTPRS	protein tyrosine phosphatase, receptor type S	Approved			19p13.3	U35234			Fibronectin type III domain containing	555
9682	PTPRT	protein tyrosine phosphatase, receptor type T	Approved		RPTPrho, KIAA0283	20q12-q13.11	AF043644			Fibronectin type III domain containing	555
