HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
15492	ANKH	ANKH inorganic pyrophosphate transport regulator	Approved	CCAL2, CMDJ	HANK, ANK, CPPDD, SLC62A1	5p15.2	AF274753	NM_054027	SLC	Solute carriers	752
16628	SLC49A4	solute carrier family 49 member 4	Approved	DIRC2	FLJ14784, RCC4	3q21.1	AK027690	NM_032839	SLC	Solute carriers	752
24682	FLVCR1	feline leukemia virus subgroup C cellular receptor 1	Approved	AXPC1	FLVCR, MFSD7B, PCA, SLC49A1	1q32.3	AF118637	NM_014053	SLC	Solute carriers	752
20105	FLVCR2	feline leukemia virus subgroup C cellular receptor family member 2	Approved	C14orf58	FLJ20371, MFSD7C, SLC49A2, CCT	14q24.3	AK000378	NM_017791	SLC	Solute carriers	752
6556	LETM1	leucine zipper and EF-hand containing transmembrane protein 1	Approved		SLC55A1	4p16.3	AF061025		SLC	Solute carriers	752
14648	LETM2	leucine zipper and EF-hand containing transmembrane protein 2	Approved		FLJ25409, SLC55A2	8p11.23	AK058138	NM_144652	SLC	Solute carriers	752
24241	LETMD1	LETM1 domain containing 1	Approved		HCCR1, HCCR, HCCR-2, HCCR-1, HCCR2, SLC55A3	12q13.12	AF195651	NM_015416	SLC	Solute carriers	752
21606	MPC1	mitochondrial pyruvate carrier 1	Approved	BRP44L	dJ68L15.3, CGI-129, SLC54A1	6q27	AF125101	NM_016098	SLC	Solute carriers	752
44205	MPC1L	mitochondrial pyruvate carrier 1 like	Approved		SLC54A3	Xp11.4		NM_001195522	SLC	Solute carriers	752
24515	MPC2	mitochondrial pyruvate carrier 2	Approved	BRP44	DKFZP564B167, SLC54A2	1q24.2		NM_015415	SLC	Solute carriers	752
17586	MTCH1	mitochondrial carrier 1	Approved		CGI-64, PSAP, SLC25A49	6p21.2	AF151822	NM_014341	SLC	Solute carriers	752
17587	MTCH2	mitochondrial carrier 2	Approved		SLC25A50	11p11.2	AF085361	NM_014342	SLC	Solute carriers	752
17043	NIPA1	NIPA magnesium transporter 1	Approved	SPG6	MGC35570, SLC57A1	15q11.2	BK001020	NM_144599	SLC	Solute carriers	752
17044	NIPA2	NIPA magnesium transporter 2	Approved		SLC57A2	15q11.2	AY732242	NM_030922	SLC	Solute carriers	752
7897	NPC1	NPC intracellular cholesterol transporter 1	Approved		SLC65A1	18q11.2	AF002020	NM_000271	SLC	Solute carriers	752
7898	NPC1L1	NPC1 like intracellular cholesterol transporter 1	Approved		SLC65A2	7p13		NM_013389	SLC	Solute carriers	752
10006	RHAG	Rh associated glycoprotein	Approved		RH50A, CD241, SLC42A1	6p12.3			SLC	Solute carriers	752
14572	RHBG	Rh family B glycoprotein (gene/pseudogene)	Approved		SLC42A2	1q22	AF193807	NM_001256395	SLC	Solute carriers	752
18140	RHCG	Rh family C glycoprotein	Approved	C15orf6	RHGK, PDRC2, SLC42A3	15q26.1	AF081497	NM_016321	SLC	Solute carriers	752
16085	SFXN1	sideroflexin 1	Approved		FLJ12876, SLC56A1	5q35.2	AF327346	NM_022754	SLC	Solute carriers	752
16086	SFXN2	sideroflexin 2	Approved		SLC56A2	10q24.32	AF462052	XM_058359	SLC	Solute carriers	752
16087	SFXN3	sideroflexin 3	Approved		SFX3, SLC56A3	10q24.31	AK074707	NM_030971	SLC	Solute carriers	752
16088	SFXN4	sideroflexin 4	Approved		SLC56A4	10q26.11		XM_058406	SLC	Solute carriers	752
16073	SFXN5	sideroflexin 5	Approved		BBG-TCC, SLC56A5	2p13.2	AY044437	NM_144579	SLC	Solute carriers	752
10905	SLC10A1	solute carrier family 10 member 1	Approved		NTCP	14q24.1	L21893		SLC	Solute carriers	752
10906	SLC10A2	solute carrier family 10 member 2	Approved	ASBT, ISBT		13q33.1	U10417		SLC	Solute carriers	752
22979	SLC10A3	solute carrier family 10 member 3	Approved		P3, DXS253E	Xq28	X12458	NM_019848	SLC	Solute carriers	752
22980	SLC10A4	solute carrier family 10 member 4	Approved		MGC29802	4p11	BC012048	NM_152679	SLC	Solute carriers	752
22981	SLC10A5	solute carrier family 10 member 5	Approved			8q21.13		XM_294493	SLC	Solute carriers	752
30603	SLC10A6	solute carrier family 10 member 6	Approved		SOAT	4q21.3	AJ583502	NM_197965	SLC	Solute carriers	752
23088	SLC10A7	solute carrier family 10 member 7	Approved	C4orf13	MGC25043, DKFZp566M114, DKFZp313H0531, DKFZp779O2438	4q31.22	AY346324	NM_032128	SLC	Solute carriers	752
10907	SLC11A1	solute carrier family 11 member 1	Approved	LSH, NRAMP, NRAMP1		2q35	D38171	NM_000578	SLC	Solute carriers	752
10908	SLC11A2	solute carrier family 11 member 2	Approved	NRAMP2	DCT1, DMT1	12q13.12	AB015355		SLC	Solute carriers	752
10910	SLC12A1	solute carrier family 12 member 1	Approved		NKCC2	15q21.1			SLC	Solute carriers	752
10911	SLC12A2	solute carrier family 12 member 2	Approved		NKCC1, BSC, BSC2, PPP1R141	5q23.3		NM_001046	SLC	Solute carriers	752
10912	SLC12A3	solute carrier family 12 member 3	Approved		NCCT	16q13			SLC	Solute carriers	752
10913	SLC12A4	solute carrier family 12 member 4	Approved		KCC1	16q22.1		NM_005072	SLC	Solute carriers	752
13818	SLC12A5	solute carrier family 12 member 5	Approved		KIAA1176, KCC2	20q13.12	AB033002		SLC	Solute carriers	752
10914	SLC12A6	solute carrier family 12 member 6	Approved	KCC3, ACCPN		15q14	AF108831	NM_005135	SLC	Solute carriers	752
10915	SLC12A7	solute carrier family 12 member 7	Approved		KCC4, DKFZP434F076	5p15.33	AF105365	NM_006598	SLC	Solute carriers	752
15595	SLC12A8	solute carrier family 12 member 8	Approved		CCC9	3q21.2		NM_024628	SLC	Solute carriers	752
17435	SLC12A9	solute carrier family 12 member 9	Approved		CIP1	7q22.1	AF284422	NM_020246	SLC	Solute carriers	752
10916	SLC13A1	solute carrier family 13 member 1	Approved		NaSi-1, NAS1	7q31.32		NM_022444	SLC	Solute carriers	752
10917	SLC13A2	solute carrier family 13 member 2	Approved		NaDC-1	17q11.2	U26209	NM_003984	SLC	Solute carriers	752
14430	SLC13A3	solute carrier family 13 member 3	Approved		NADC3, SDCT2	20q13.12	AF154121		SLC	Solute carriers	752
15827	SLC13A4	solute carrier family 13 member 4	Approved		SUT-1, SUT1	7q33	AF169301	NM_012450	SLC	Solute carriers	752
23089	SLC13A5	solute carrier family 13 member 5	Approved		NACT, INDY	17p13.1	AJ489980	NM_177550	SLC	Solute carriers	752
10918	SLC14A1	solute carrier family 14 member 1 (Kidd blood group)	Approved	JK	HsT1341, RACH1, RACH2	18q12.3	BC040128	NM_015865	SLC	Solute carriers	752
10919	SLC14A2	solute carrier family 14 member 2	Approved		HUT2, UT2	18q12.3	X96969		SLC	Solute carriers	752
10920	SLC15A1	solute carrier family 15 member 1	Approved		PEPT1, HPECT1, HPEPT1	13q32.2-q32.3	U13173	NM_005073	SLC	Solute carriers	752
10921	SLC15A2	solute carrier family 15 member 2	Approved		PEPT2	3q13.33	BC044572	NM_021082	SLC	Solute carriers	752
18068	SLC15A3	solute carrier family 15 member 3	Approved		PHT2, hPTR3	11q12.2	AB020598	NM_016582	SLC	Solute carriers	752
23090	SLC15A4	solute carrier family 15 member 4	Approved		PHT1, PTR4	12q24.33	AY038999	NM_145648	SLC	Solute carriers	752
33455	SLC15A5	solute carrier family 15 member 5	Approved			12p12.3		NM_001170798	SLC	Solute carriers	752
