HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
12027	TRA	T cell receptor alpha locus	Approved	TCRA, TRA@		14q11.2		NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12146	TRAV8-1	T cell receptor alpha variable 8-1	Approved			14q11.2	AE000659	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12076	TRAJ45	T cell receptor alpha joining 45	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12077	TRAJ46	T cell receptor alpha joining 46	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12078	TRAJ47	T cell receptor alpha joining 47	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12079	TRAJ48	T cell receptor alpha joining 48	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12080	TRAJ49	T cell receptor alpha joining 49	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12082	TRAJ50	T cell receptor alpha joining 50	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12083	TRAJ51	T cell receptor alpha joining 51 (pseudogene)	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12084	TRAJ52	T cell receptor alpha joining 52	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12085	TRAJ53	T cell receptor alpha joining 53	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12086	TRAJ54	T cell receptor alpha joining 54	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12147	TRAV8-2	T cell receptor alpha variable 8-2	Approved			14q11.2	AE000659	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12087	TRAJ55	T cell receptor alpha joining 55 (pseudogene)	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12088	TRAJ56	T cell receptor alpha joining 56	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12089	TRAJ57	T cell receptor alpha joining 57	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
12090	TRAJ58	T cell receptor alpha joining 58 (non-functional)	Approved			14q11.2	M94081	NG_001332	TRA	T cell receptor alpha locus at 14q11.2	371
