Chr	Input_vcf_num	output_SNV_num	Reassign_ref_acd_AA(only)	Swap_VCF_ref&alt(only)	reassign_AA&Correcting_VCF

chr1	6162165	6014659	0	4	145730
chr2	6800651	6672615	0	0	164534
chr3	5587576	5449296	0	0	135223
chr4	5496940	5335385	0	0	143156
chr5	5044795	4928265	0	0	116207
chr6	4808122	4641911	0	1	115385
chr7	4520310	4403157	0	0	105289
chr8	4430611	4371986	0	0	111780
chr9	3414199	3350805	0	0	81107
chr10	3814117	3707124	0	3	92227
chr11	3885610	3802090	0	0	92746
chr12	3614018	3520871	0	0	83700
chr13	2732789	2648897	0	0	70010
chr14	2544254	2483032	0	0	59914
chr15	2326959	2274536	0	0	56555
chr16	2603947	2603170	0	0	63904
chr17	2222076	2181478	0	0	48372
chr18	2172864	2112383	0	0	55140
chr19	1744475	1710492	0	0	39260
chr20	1744259	1707412	0	0	41734
chr21	1057566	1024910	0	0	26373
chr22	1056883	1034146	0	0	23360
chrX	1390585	1219092	0	0	44448
chrY	6372	4830	0	0	112
chrMT	0	0	0	0	0
