HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
13666	AAAS	aladin WD repeat nucleoporin	Approved			12q13.13	AJ289841		WDR	WD repeat domain containing	362
18	AAMP	angio associated migratory cell protein	Approved			2q35	AB209790	NM_001087	WDR	WD repeat domain containing	362
21575	AHI1	Abelson helper integration site 1	Approved		FLJ20069, ORF1, JBTS3	6q23.3	AJ459824	NM_017651	WDR	WD repeat domain containing	362
25990	AMBRA1	autophagy and beclin 1 regulator 1	Approved		FLJ20294, KIAA1736, WDR94, DCAF3	11p11.2	AB051523	NM_017749	WDR	WD repeat domain containing	362
576	APAF1	apoptotic peptidase activating factor 1	Approved		CED4, APAF-1	12q23.1	AF013263	NM_181861.1	WDR	WD repeat domain containing	362
703	ARPC1A	actin related protein 2/3 complex subunit 1A	Approved		SOP2Hs, SOP2L, Arc40	7q22.1	Y08999	NM_006409	WDR	WD repeat domain containing	362
704	ARPC1B	actin related protein 2/3 complex subunit 1B	Approved		ARC41, p40-ARC, p41-ARC	7q22.1	AF006084	NM_005720	WDR	WD repeat domain containing	362
21498	ATG16L1	autophagy related 16 like 1	Approved	APG16L, ATG16L	WDR30, FLJ10035, ATG16A	2q37.1	AK000897	NM_017974	WDR	WD repeat domain containing	362
25464	ATG16L2	autophagy related 16 like 2	Approved		FLJ00012, WDR80, ATG16B	11q13.4	AK024423	NM_033388	WDR	WD repeat domain containing	362
14347	BCAS3	BCAS3, microtubule associated cell migration factor	Approved		FLJ20128	17q23.2	AF361219	NM_017679	WDR	WD repeat domain containing	362
15519	BOP1	BOP1 ribosomal biogenesis factor	Approved		KIAA0124	8q24.3	AK024840	NM_015201	WDR	WD repeat domain containing	362
12760	BRWD1	bromodomain and WD repeat domain containing 1	Approved	C21orf107, WDR9	FLJ11315, N143, DCAF19	21q22.2	AJ002572	NM_033656	WDR	WD repeat domain containing	362
17342	BRWD3	bromodomain and WD repeat domain containing 3	Approved		FLJ38568, MRX93	Xq21.1		NM_153252	WDR	WD repeat domain containing	362
1144	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase	Approved		bTrCP, betaTrCP, FBXW1A, Fwd1, beta-TrCP1, bTrCP1	10q24.32	Y14153	NM_033637	WDR	WD repeat domain containing	362
1151	BUB3	BUB3, mitotic checkpoint protein	Approved		BUB3L	10q26.13	AF053304		WDR	WD repeat domain containing	362
1723	CDC20	cell division cycle 20	Approved		p55CDC, CDC20A	1p34.2	U05340	NM_001255	WDR	WD repeat domain containing	362
24222	CDC20B	cell division cycle 20B	Approved		FLJ37927	5q11.2	AB086378	NM_152623	WDR	WD repeat domain containing	362
17350	CDC40	cell division cycle 40	Approved		PRP17, EHB3, PRPF17, FLJ10564	6q21	AF015044	NM_015891	WDR	WD repeat domain containing	362
14379	CDRT1	CMT1A duplicated region transcript 1	Approved	FBXW10P1	HREP, SM25H2, FBXW10B	17p12	U65652	NM_006382	WDR	WD repeat domain containing	362
26684	CFAP43	cilia and flagella associated protein 43	Approved	C10orf79, WDR96	FLJ36006, bA373N18.2, FLJ22944	10q25.1	AL833836	NM_025145	WDR	WD repeat domain containing	362
