HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
1755	CDH16	cadherin 16	Approved			16q22.1	AF016272	NM_004062		7D cadherins	1187
1756	CDH17	cadherin 17	Approved		HPT-1, cadherin	8q22.1	X83228	NM_004063		7D cadherins	1187
14550	CDHR1	cadherin related family member 1	Approved	PCDH21	KIAA1775, CORD15, RP65	10q23.1	AB053448	NM_033100	CDHR	Cadherin related	24
23112	FAT3	FAT atypical cadherin 3	Approved		KIAA1989, CDHF15, CDHR10	11q14.3	AB076400	NM_001008781	CDHR	Cadherin related	24
23109	FAT4	FAT atypical cadherin 4	Approved		CDHF14, FAT-J, CDHR11	4q28.1	AY356402	NM_024582	CDHR	Cadherin related	24
17447	CLSTN1	calsyntenin 1	Approved		CSTN1, KIAA0911, CDHR12	1p36.22	AB020718		CDHR	Cadherin related	24
17448	CLSTN2	calsyntenin 2	Approved		CSTN2, CS2, FLJ39113, CDHR13	3q23	AJ278018	NM_022131	CDHR	Cadherin related	24
18371	CLSTN3	calsyntenin 3	Approved		CSTN3, KIAA0726, CDHR14	12p13.31	AB018269	NM_014718	CDHR	Cadherin related	24
14674	PCDH15	protocadherin related 15	Approved	USH1F, DFNB23	CDHR15	10q21.1	AY029205	NM_033056	CDHR	Cadherin related	24
9967	RET	ret proto-oncogene	Approved	HSCR1, MEN2A, MTC1, MEN2B	PTC, CDHF12, RET51, CDHR16	10q11.21	BC004257	NM_020975	CDHR	Cadherin related	24
18231	CDHR2	cadherin related family member 2	Approved	PCDH24	PC-LKC, FLJ20124, FLJ20383, PCLKC	5q35.2	AB047004	NM_017675	CDHR	Cadherin related	24
13733	CDH23	cadherin related 23	Approved	DFNB12, USH1D	CDHR23	10q22.1	AY010111	NM_052836	CDHR	Cadherin related	24
26308	CDHR3	cadherin related family member 3	Approved		FLJ44366, FLJ23834, CDH28	7q22.3	AK126338	NM_152750	CDHR	Cadherin related	24
34527	CDHR4	cadherin related family member 4	Approved	CDH29	VLLR9392	3p21.31		NM_001007540	CDHR	Cadherin related	24
7521	CDHR5	cadherin related family member 5	Approved	MUCDHL, MUPCDH	FLJ20219, MU-PCDH	11p15.5	AF258675	NM_021924	CDHR	Cadherin related	24
13681	DCHS1	dachsous cadherin-related 1	Approved	CDH25, PCDH16	FIB1, KIAA1773, FLJ11790, CDHR6	11p15.4	AB000895	NM_003737	CDHR	Cadherin related	24
23111	DCHS2	dachsous cadherin-related 2	Approved	CDH27, PCDH23	CDHJ, FLJ20047, PCDHJ, CDHR7	4q31.3	BC140919	NM_001142552	CDHR	Cadherin related	24
3595	FAT1	FAT atypical cadherin 1	Approved	FAT	CDHF7, CDHR8	4q35.2	X87241	NM_005245	CDHR	Cadherin related	24
3596	FAT2	FAT atypical cadherin 2	Approved		MEGF1, CDHF8, HFAT2, CDHR9	5q33.1	AF231022	NM_001447	CDHR	Cadherin related	24
1850	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1	Approved		ME2, HFMI2, FMI2, CDHF9, ADGRC1	22q13.31	AF231024	NM_014246	CELSR	CELSR cadherins	1189
3231	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	Approved	EGFL2	KIAA0279, MEGF3, Flamingo1, CDHF10, ADGRC2	1p13.3	D87469	NM_001408	CELSR	CELSR cadherins	1189
3230	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	Approved	EGFL1	MEGF2, HFMI1, FMI1, CDHF11, ADGRC3	3p21.31	AF231023	NM_001407	CELSR	CELSR cadherins	1189
8662	PCDHA@	protocadherin alpha cluster, complex locus	Approved	CNRS1	CNR1	5q31				Clustered protocadherins	20
8663	PCDHA1	protocadherin alpha 1	Approved			5q31.3	AF152479	NM_018900		Clustered protocadherins	20
8664	PCDHA10	protocadherin alpha 10	Approved	CNRS8	CNR8, CRNR8, CNRN8, PCDH-ALPHA10	5q31.3	AF152475	NM_018901		Clustered protocadherins	20
8665	PCDHA11	protocadherin alpha 11	Approved	CNRS7	CNR7, CRNR7, CNRN7, PCDH-ALPHA11	5q31.3	AF152476	NM_018902		Clustered protocadherins	20
8666	PCDHA12	protocadherin alpha 12	Approved		PCDH-ALPHA12	5q31.3	AF152477	NM_018903		Clustered protocadherins	20
