HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
360	AIRE	autoimmune regulator	Approved	APECED	PGA1, APS1	21q22.3	AB006684		PHF	PHD finger proteins	88
19088	ASH1L	ASH1 like histone lysine methyltransferase	Approved		huASH1, ASH1, ASH1L1, KMT2H	1q22	AB037841	NM_018489	PHF	PHD finger proteins	88
744	ASH2L	ASH2 like, histone lysine methyltransferase complex subunit	Approved	ASH2L1	ASH2L2, ASH2, Bre2	8p11.23	AF056717	NM_004674	PHF	PHD finger proteins	88
960	BAZ1A	bromodomain adjacent to zinc finger domain 1A	Approved		hACF1, ACF1, WALp1, WCRF180	14q13.1-q13.2	AB032252		PHF	PHD finger proteins	88
961	BAZ1B	bromodomain adjacent to zinc finger domain 1B	Approved	WBSCR9, WBSCR10	WSTF	7q11.23	AF084479	NM_032408	PHF	PHD finger proteins	88
962	BAZ2A	bromodomain adjacent to zinc finger domain 2A	Approved		KIAA0314, TIP5, WALp3	12q13.3	AB032254	NM_013449	PHF	PHD finger proteins	88
963	BAZ2B	bromodomain adjacent to zinc finger domain 2B	Approved		WALp4	2q24.2	AB032255		PHF	PHD finger proteins	88
3581	BPTF	bromodomain PHD finger transcription factor	Approved	FALZ	FAC1, NURF301	17q24.2	AY282495	NM_182641, NM_004459	PHF	PHD finger proteins	88
1918	CHD3	chromodomain helicase DNA binding protein 3	Approved		Mi-2a, ZFH, Mi2-ALPHA	17p13.1	U08379	NM_001005273	PHF	PHD finger proteins	88
1919	CHD4	chromodomain helicase DNA binding protein 4	Approved		Mi-2b, Mi2-BETA	12p13.31	X86691	NM_001273	PHF	PHD finger proteins	88
16816	CHD5	chromodomain helicase DNA binding protein 5	Approved			1p36.31	AF425231	NM_015557	PHF	PHD finger proteins	88
24343	CXXC1	CXXC finger protein 1	Approved		HsT2645, PCCX1, hCGBP, PHF18, CGBP, SPP1, CFP1, ZCGPC1	18q21.1	BC014940	NM_014593	PHF	PHD finger proteins	88
2680	DIDO1	death inducer-obliterator 1	Approved	C20orf158, DATF1	DIO1, dJ885L7.8, FLJ11265, KIAA0333, DIO-1, BYE1	20q13.33	AB002331	NM_080796	PHF	PHD finger proteins	88
20225	DPF1	double PHD fingers 1	Approved		neuro-d4, NEUD4, BAF45b	19q13.2	U43843		PHF	PHD finger proteins	88
9964	DPF2	double PHD fingers 2	Approved	REQ	ubi-d4, BAF45d	11q13.1	U94585	NM_006268	PHF	PHD finger proteins	88
17427	DPF3	double PHD fingers 3	Approved		cer-d4, Cerd4, FLJ14079, BAF45c	14q24.2	U43919		PHF	PHD finger proteins	88
20748	FANCL	FA complementation group L	Approved	PHF9	FLJ10335, FAAP43, Pog	2p16.1	AK001197	NM_018062	PHF	PHD finger proteins	88
20338	G2E3	G2/M-phase specific E3 ubiquitin protein ligase	Approved	KIAA1333	FLJ20333, PHF7B	14q12	AK000340	NM_017769	PHF	PHD finger proteins	88
6062	ING1	inhibitor of growth family member 1	Approved		p33ING1, p33ING1b, p24ING1c, p33, p47, p47ING1a	13q34		NM_005537	PHF	PHD finger proteins	88
6063	ING2	inhibitor of growth family member 2	Approved	ING1L	p33ING2	4q35.1	AB012853	NM_001564	PHF	PHD finger proteins	88
