HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
26350	ANKAR	ankyrin and armadillo repeat containing	Approved		FLJ25415	2q32.2	AJ549812	NM_144708	ARMC	Armadillo repeat containing	409
583	APC	APC, WNT signaling pathway regulator	Approved		DP2, DP3, DP2.5, PPP1R46	5q22.2	M74088	NM_000038	ARMC	Armadillo repeat containing	409
24036	APC2	APC2, WNT signaling pathway regulator	Approved		APCL	19p13.3		NM_005883	ARMC	Armadillo repeat containing	409
17684	ARMC1	armadillo repeat containing 1	Approved		FLJ10511, Arcp	8q13.1	BC011607	NM_018120	ARMC	Armadillo repeat containing	409
21706	ARMC10	armadillo repeat containing 10	Approved		MGC3195, SVH	7q22.1	AY150853	NM_031905	ARMC	Armadillo repeat containing	409
21099	ARMC12	armadillo repeat containing 12	Approved	C6orf81	FLJ25390	6p21.31	AK058119	NM_145028	ARMC	Armadillo repeat containing	409
19217	THADA	THADA, armadillo repeat containing	Approved		FLJ21877, KIAA1767, GITA, ARMC13	2p21	AY149629	NM_022065	ARMC	Armadillo repeat containing	409
23045	ARMC2	armadillo repeat containing 2	Approved		DKFZp434P0714, bA787I22.1	6q21	BC030603	NM_032131	ARMC	Armadillo repeat containing	409
30964	ARMC3	armadillo repeat containing 3	Approved		FLJ32827, CT81	10p12.2	AK057389	NM_173081	ARMC	Armadillo repeat containing	409
25583	ARMC4	armadillo repeat containing 4	Approved		FLJ10817, FLJ10376, DKFZP434P1735, CILD23	10p12.1	AL136859	NM_018076	ARMC	Armadillo repeat containing	409
25781	ARMC5	armadillo repeat containing 5	Approved		FLJ13063	16p11.2	AY217348	NM_024742	ARMC	Armadillo repeat containing	409
25049	ARMC6	armadillo repeat containing 6	Approved		MGC19595	19p13.11	BX648486	NM_033415	ARMC	Armadillo repeat containing	409
26168	ARMC7	armadillo repeat containing 7	Approved		FLJ22160	17q25.1	AK025813	NM_024585	ARMC	Armadillo repeat containing	409
24999	ARMC8	armadillo repeat containing 8	Approved		HSPC056, DKFZP434A043, GID5, VID28	3q22.3		NM_015396	ARMC	Armadillo repeat containing	409
20730	ARMC9	armadillo repeat containing 9	Approved		FLJ12584, KIAA1868, ARM, KU-MEL-1	2q37.1	BC004514	NM_025139	ARMC	Armadillo repeat containing	409
18073	ARMCX1	armadillo repeat containing X-linked 1	Approved		ALEX1, GASP7	Xq22.1	AB039670	NM_016608	ARMC	Armadillo repeat containing	409
16869	ARMCX2	armadillo repeat containing X-linked 2	Approved		ALEX2, KIAA0512, GASP9	Xq22.1	AB011084	NM_014782	ARMC	Armadillo repeat containing	409
24065	ARMCX3	armadillo repeat containing X-linked 3	Approved		ALEX3, GASP6	Xq22.1	AY359079	NM_016607	ARMC	Armadillo repeat containing	409
28615	ARMCX4	armadillo repeat containing X-linked 4	Approved	CXorf35	MGC40053, GASP4	Xq22.1	AK096955	NM_001256155	ARMC	Armadillo repeat containing	409
25772	ARMCX5	armadillo repeat containing X-linked 5	Approved		FLJ12969, GASP5	Xq22.1		NM_022838	ARMC	Armadillo repeat containing	409
26094	ARMCX6	armadillo repeat containing X-linked 6	Approved		FLJ20811, GASP10	Xq22.1	BC007677	NM_019007	ARMC	Armadillo repeat containing	409
728	ARVCF	ARVCF, delta catenin family member	Approved			22q11.21		NM_001670	ARMC	Armadillo repeat containing	409
29353	BHLHB9	basic helix-loop-helix family member b9	Approved		p60TRP, KIAA1701, GASP3	Xq22.1	AB051488	NM_030639	ARMC	Armadillo repeat containing	409
2514	CTNNB1	catenin beta 1	Approved	CTNNB	beta-catenin, armadillo	3p22.1	X87838	NM_001098210	ARMC	Armadillo repeat containing	409
2515	CTNND1	catenin delta 1	Approved	CTNND	KIAA0384, p120, p120cas, p120ctn	11q12.1	AB002382	NM_001331	ARMC	Armadillo repeat containing	409
2516	CTNND2	catenin delta 2	Approved		NPRAP, GT24	5p15.2	U52828	NM_001332	ARMC	Armadillo repeat containing	409
24834	GPRASP1	G protein-coupled receptor associated sorting protein 1	Approved		GASP, GASP1	Xq22.1	AB007903	NM_014710	ARMC	Armadillo repeat containing	409
25169	GPRASP2	G protein-coupled receptor associated sorting protein 2	Approved		GASP2, FLJ37327	Xq22.1	AK094646	NM_138437	ARMC	Armadillo repeat containing	409
6207	JUP	junction plakoglobin	Approved	CTNNG	DP3, PDGB, PKGB, DPIII	17q21.2	AF233882	NM_001352773	ARMC	Armadillo repeat containing	409
6394	KPNA1	karyopherin subunit alpha 1	Approved		SRP1, RCH2, NPI-1, IPOA5	3q21.1	S75295	NM_002264	ARMC	Armadillo repeat containing	409
6395	KPNA2	karyopherin subunit alpha 2	Approved	RCH1	SRP1alpha, IPOA1, QIP2	17q24.2	U09559	NM_002266	ARMC	Armadillo repeat containing	409
6396	KPNA3	karyopherin subunit alpha 3	Approved		SRP1gamma, SRP4, hSRP1, IPOA4	13q14.2	D89618	NM_002267	ARMC	Armadillo repeat containing	409
6397	KPNA4	karyopherin subunit alpha 4	Approved		QIP1, SRP3, IPOA3, MGC12217, MGC26703	3q25.33	AB002533	NM_002268	ARMC	Armadillo repeat containing	409
6398	KPNA5	karyopherin subunit alpha 5	Approved		SRP6, IPOA6	6q22.1	AF005361	NM_002269	ARMC	Armadillo repeat containing	409
6399	KPNA6	karyopherin subunit alpha 6	Approved		IPOA7, KPNA7, MGC17918, FLJ11249	1p35.2	AF060543	NM_012316	ARMC	Armadillo repeat containing	409
21839	KPNA7	karyopherin subunit alpha 7	Approved		IPOA8	7q22.1		NM_001145715	ARMC	Armadillo repeat containing	409
6400	KPNB1	karyopherin subunit beta 1	Approved		NTF97, IPOB, MGC2155, MGC2156, MGC2157, IMB1, Impnb, IPO1	17q21.32	L39793	NM_002265	ARMC	Armadillo repeat containing	409
9023	PKP1	plakophilin 1	Approved		B6P	1q32.1	X79293	NM_000299	ARMC	Armadillo repeat containing	409
9024	PKP2	plakophilin 2	Approved			12p11.21	X97675	NM_004572	ARMC	Armadillo repeat containing	409
9025	PKP3	plakophilin 3	Approved			11p15.5	Z98265	NM_007183	ARMC	Armadillo repeat containing	409
9026	PKP4	plakophilin 4	Approved		p0071	2q24.1	X81889		ARMC	Armadillo repeat containing	409
9859	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	Approved		SmgGDS	4q23		NM_001100426	ARMC	Armadillo repeat containing	409
11215	SPAG6	sperm associated antigen 6	Approved		Repro-SA-1, pf16, CT141	10p12.2	AF079363		ARMC	Armadillo repeat containing	409
17195	ACRBP	acrosin binding protein	Approved		SP32, OY-TES-1, CT23	12p13.31	AB051833	NM_032489	ARMH	Armadillo-like helical domain containing	1492
26504	AGBL1	ATP/GTP binding protein like 1	Approved		FLJ32310, CCP4	15q25.3	AK056872	NM_152336	ARMH	Armadillo-like helical domain containing	1492
17258	AGTPBP1	ATP/GTP binding protein 1	Approved		KIAA1035, Nna1, CCP1	9q21.33	AB028958	NM_015239	ARMH	Armadillo-like helical domain containing	1492
25104	AP5B1	adaptor related protein complex 5 subunit beta 1	Approved		PP1030, AP-5, DKFZp761E198	11q13.1	JQ313135	NM_138368	ARMH	Armadillo-like helical domain containing	1492
22197	AP5Z1	adaptor related protein complex 5 subunit zeta 1	Approved	KIAA0415	SPG48, zeta	7p22.1	AB007875		ARMH	Armadillo-like helical domain containing	1492
594	API5	apoptosis inhibitor 5	Approved		AAC-11, API5L1, AAC11	11p12	U83857	NM_006595	ARMH	Armadillo-like helical domain containing	1492
15772	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	Approved		DKFZP434L057, BIG1, ARFGEP1, p200	8q13.2	AF084520	NM_006421	ARMH	Armadillo-like helical domain containing	1492
15853	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	Approved		BIG2	20q13.13	AF084521	NM_006420	ARMH	Armadillo-like helical domain containing	1492
21213	ARFGEF3	ARFGEF family member 3	Approved	C6orf92, KIAA1244	dJ171N11.1, BIG3, PPP1R33	6q23.3-q24.1	AB033070	NM_020340	ARMH	Armadillo-like helical domain containing	1492
