HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
2734	DDX1	DEAD-box helicase 1	Approved		DBP-RB	2p24.3	X70649	NM_004939	DDX	DEAD-box helicases	499
2735	DDX10	DEAD-box helicase 10	Approved		HRH-J8, Dbp4	11q22.3	U28042	NM_004398	DDX	DEAD-box helicases	499
2736	DDX11	DEAD/H-box helicase 11	Approved		CHLR1, KRG2, CHL1, ChlR1, WABS	12p11.21	U75969	NM_030653	DDX	DEAD-box helicases	499
2737	DDX12P	DEAD/H-box helicase 12, pseudogene	Approved	DDX12	CHLR2	12p13.31	U33834	XM_495908	DDX	DEAD-box helicases	499
2740	DDX17	DEAD-box helicase 17	Approved		P72	22q13.1	U59321	NM_030881	DDX	DEAD-box helicases	499
2741	DDX18	DEAD-box helicase 18	Approved		MrDb, Has1	2q14.1	X98743	NM_006773	DDX	DEAD-box helicases	499
25628	DDX19A	DEAD-box helicase 19A	Approved	DDX19L	FLJ11126	16q22.1	AF183422	NM_018332	DDX	DEAD-box helicases	499
2742	DDX19B	DEAD-box helicase 19B	Approved	DDX19	DBP5	16q22.1	AJ237946	NM_007242	DDX	DEAD-box helicases	499
2743	DDX20	DEAD-box helicase 20	Approved		DP103, GEMIN3	1p13.2	AF106019	NM_007204	DDX	DEAD-box helicases	499
2744	DDX21	DExD-box helicase 21	Approved		RH-II/GU, GURDB	10q22.1	U41387	NM_004728	DDX	DEAD-box helicases	499
17347	DDX23	DEAD-box helicase 23	Approved		prp28, U5-100K, PRPF28, SNRNP100	12q13.12	AF026402	NM_004818	DDX	DEAD-box helicases	499
13266	DDX24	DEAD-box helicase 24	Approved			14q32.12	AF214731	NM_020414	DDX	DEAD-box helicases	499
18698	DDX25	DEAD-box helicase 25	Approved		GRTH	11q24.2	AF155140	NM_013264	DDX	DEAD-box helicases	499
15837	DDX27	DEAD-box helicase 27	Approved		dJ686N3.1, DRS1	20q13.13	AL049766		DDX	DEAD-box helicases	499
17330	DDX28	DEAD-box helicase 28	Approved		MDDX28, FLJ11282	16q22.1	AF329821	NM_018380	DDX	DEAD-box helicases	499
3282	EIF4A1	eukaryotic translation initiation factor 4A1	Approved	EIF4A	DDX2A, EIF-4A	17p13.1	D13748	NM_001416	DDX	DEAD-box helicases	499
3284	EIF4A2	eukaryotic translation initiation factor 4A2	Approved	EIF4F	DDX2B, EIF4A, BM-010	3q27.3	D30655	NM_001967	DDX	DEAD-box helicases	499
16715	DDX31	DEAD-box helicase 31	Approved		FLJ13633, FLJ23349, FLJ14578, PPP1R25	9q34.13	AF427339	NM_138620	DDX	DEAD-box helicases	499
17821	DDX39A	DExD-box helicase 39A	Approved	DDX39	DDXL, BAT1L, URH49	19p13.12	U90426	NM_138998	DDX	DEAD-box helicases	499
13917	DDX39B	DExD-box helicase 39B	Approved	BAT1	D6S81E, UAP56	6p21.33	Z37166	NM_004640	DDX	DEAD-box helicases	499
2745	DDX3X	DEAD-box helicase 3 X-linked	Approved	DDX3	DBX, HLP2, DDX14	Xp11.4	U50553	NM_024005	DDX	DEAD-box helicases	499
2699	DDX3Y	DEAD-box helicase 3 Y-linked	Approved	DBY		Yq11.221	AF000984	NM_004660	DDX	DEAD-box helicases	499
18700	DDX4	DEAD-box helicase 4	Approved		VASA	5q11.2	AF262962	NM_024415	DDX	DEAD-box helicases	499
18674	DDX41	DEAD-box helicase 41	Approved		ABS, MGC8828	5q35.3	AF195417	NM_016222	DDX	DEAD-box helicases	499
18676	DDX42	DEAD-box helicase 42	Approved		RNAHP, RHELP, SF3b125, SF3B8	17q23.3	BC015505	NM_007372	DDX	DEAD-box helicases	499
18677	DDX43	DEAD-box helicase 43	Approved		HAGE, DKFZp434H2114, CT13	6q13		NM_018665	DDX	DEAD-box helicases	499
18681	DDX46	DEAD-box helicase 46	Approved		KIAA0801, FLJ25329, PRPF5, Prp5	5q31.1		NM_014829	DDX	DEAD-box helicases	499
18682	DDX47	DEAD-box helicase 47	Approved		DKFZp564O176, FLJ30012, HQ0256, RRP3	12p13.1	AK127712	NM_016355	DDX	DEAD-box helicases	499
18683	EIF4A3	eukaryotic translation initiation factor 4A3	Approved	DDX48	KIAA0111, EIF4AIII, Fal1	17q25.3	BC004386	NM_014740	DDX	DEAD-box helicases	499
18684	DDX49	DEAD-box helicase 49	Approved		FLJ10432, Dbp8	19p13.11		NM_019070	DDX	DEAD-box helicases	499
2746	DDX5	DEAD-box helicase 5	Approved	HLR1, G17P1	p68	17q23.3	AF015812	NM_004396	DDX	DEAD-box helicases	499
17906	DDX50	DExD-box helicase 50	Approved		GU2, MGC3199, GUB, RH-II/GuB	10q22.1	AF334103	NM_024045	DDX	DEAD-box helicases	499
