name	ensembl_id	chromosome	position	length	source	type
0610007P14Rik	ENSMUSG00000021252	12	-85824550	9102	ensembl_havana	protein_coding
0610009B22Rik	ENSMUSG00000007777	11	-51688874	3488	ensembl_havana	protein_coding
0610009O20Rik	ENSMUSG00000024442	18	38250248	12380	ensembl	protein_coding
0610010F05Rik	ENSMUSG00000042208	11	-23633639	68678	ensembl_havana	protein_coding
0610010K14Rik	ENSMUSG00000020831	11	-70237914	2708	ensembl_havana	protein_coding
0610012G03Rik	ENSMUSG00000107002	16	-31948494	1444	havana	protein_coding
0610030E20Rik	ENSMUSG00000058706	6	72347316	5831	ensembl_havana	protein_coding
0610037L13Rik	ENSMUSG00000028608	4	107889812	9571	ensembl_havana	protein_coding
0610040J01Rik	ENSMUSG00000060512	5	63812362	87262	ensembl_havana	protein_coding
1110002E22Rik	ENSMUSG00000090066	3	138065051	16454	havana	protein_coding
1110004E09Rik	ENSMUSG00000022972	16	-90934927	9118	ensembl_havana	protein_coding
1110004F10Rik	ENSMUSG00000030663	7	116039396	65813	ensembl_havana	protein_coding
1110008F13Rik	ENSMUSG00000027637	2	156863127	10435	ensembl_havana	protein_coding
1110008L16Rik	ENSMUSG00000021023	12	55299576	82956	ensembl_havana	protein_coding
1110008P14Rik	ENSMUSG00000039195	2	-32381938	4841	ensembl_havana	protein_coding
1110012L19Rik	ENSMUSG00000045237	X	70385876	3540	ensembl_havana	protein_coding
1110017D15Rik	ENSMUSG00000028441	4	-41517333	12324	ensembl_havana	protein_coding
1110025L11Rik	ENSMUSG00000068073	16	-89064002	590	ensembl_havana	protein_coding
1110032A03Rik	ENSMUSG00000037971	9	-50775520	12692	ensembl_havana	protein_coding
1110032F04Rik	ENSMUSG00000046999	3	68869585	2577	ensembl_havana	protein_coding
1110034G24Rik	ENSMUSG00000044991	2	132686930	64124	ensembl_havana	protein_coding
1110037F02Rik	ENSMUSG00000040720	4	11485957	64726	ensembl_havana	protein_coding
1110038F14Rik	ENSMUSG00000063236	15	76948538	2190	ensembl	protein_coding
1110051M20Rik	ENSMUSG00000040591	2	-91444704	169636	ensembl_havana	protein_coding
1110057P08Rik	ENSMUSG00000068067	16	89174734	464	ensembl_havana	protein_coding
1110059E24Rik	ENSMUSG00000035171	19	-21652976	71774	ensembl_havana	protein_coding
1110059G10Rik	ENSMUSG00000032551	9	-122951000	5911	ensembl_havana	protein_coding
1110065P20Rik	ENSMUSG00000078570	4	-124851196	2116	ensembl_havana	protein_coding
1190002N15Rik	ENSMUSG00000045414	9	-94538081	20217	ensembl_havana	protein_coding
1190003K10Rik	ENSMUSG00000096537	13	-64497792	16546	ensembl_havana	protein_coding
1190005I06Rik	ENSMUSG00000043687	8	-120647632	39030	ensembl_havana	protein_coding
1190007I07Rik	ENSMUSG00000063320	10	-82623228	3377	ensembl_havana	protein_coding
1300017J02Rik	ENSMUSG00000033688	9	-103305082	54561	ensembl_havana	protein_coding
1500009C09Rik	ENSMUSG00000068099	15	82252396	8356	ensembl_havana	protein_coding
1500009L16Rik	ENSMUSG00000087651	10	83722864	39897	ensembl_havana	protein_coding
1500011B03Rik	ENSMUSG00000072694	5	-114813976	5780	ensembl_havana	protein_coding
1500011K16Rik	ENSMUSG00000051319	2	-127792488	1100	ensembl_havana	protein_coding
1500015O10Rik	ENSMUSG00000026051	1	43730601	11976	ensembl_havana	protein_coding
1520401A03Rik	ENSMUSG00000043747	17	-23722783	18295	ensembl_havana	protein_coding
1600002H07Rik	ENSMUSG00000024118	17	-24220851	5797	ensembl_havana	protein_coding
1600002K03Rik	ENSMUSG00000035595	10	80172943	2202	ensembl_havana	protein_coding
1600012H06Rik	ENSMUSG00000050088	17	14943183	16386	ensembl_havana	protein_coding
1600014C10Rik	ENSMUSG00000054676	7	38183216	14351	ensembl_havana	protein_coding
1600014C23Rik	ENSMUSG00000094690	17	-45733844	980	ensembl	protein_coding
1600015I10Rik	ENSMUSG00000029813	6	48929894	3792	ensembl_havana	protein_coding
1700001C02Rik	ENSMUSG00000029182	5	30466046	18041	ensembl_havana	protein_coding
1700001C19Rik	ENSMUSG00000047150	17	-47437376	24642	ensembl_havana	protein_coding
1700001F09Rik	ENSMUSG00000095384	14	-43347811	5428	ensembl_havana	protein_coding
1700001J03Rik	ENSMUSG00000095040	5	-146185304	2863	ensembl_havana	protein_coding
1700001K19Rik	ENSMUSG00000056508	12	-110682619	14931	ensembl_havana	protein_coding
1700001L19Rik	ENSMUSG00000021534	13	68597420	16810	ensembl_havana	protein_coding
1700001O22Rik	ENSMUSG00000044320	2	-30803661	8892	ensembl_havana	protein_coding
1700001P01Rik	ENSMUSG00000018543	11	-97775918	4437	ensembl_havana	protein_coding
1700003E16Rik	ENSMUSG00000030030	6	83156403	6541	ensembl_havana	protein_coding
1700003F12Rik	ENSMUSG00000038523	2	154547084	2918	ensembl_havana	protein_coding
