HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
26420	ZNF573	zinc finger protein 573	Approved		FLJ30921	19q13.12	AK074539	NM_152360	ZNF	Zinc fingers C2H2-type	28
26166	ZNF574	zinc finger protein 574	Approved		FLJ22059	19q13.2	AK074788	NM_022752	ZNF	Zinc fingers C2H2-type	28
27606	ZNF575	zinc finger protein 575	Approved		FLJ32567	19q13.31	BC043611	NM_174945	ZNF	Zinc fingers C2H2-type	28
28357	ZNF576	zinc finger protein 576	Approved		MGC2508	19q13.31	AK026353	NM_024327	ZNF	Zinc fingers C2H2-type	28
28673	ZNF577	zinc finger protein 577	Approved		MGC4400	19q13.41	AL832871	NM_032679	ZNF	Zinc fingers C2H2-type	28
26449	ZNF578	zinc finger protein 578	Approved		FLJ31384	19q13.41	AK095562	NM_152472	ZNF	Zinc fingers C2H2-type	28
26646	ZNF579	zinc finger protein 579	Approved		FLJ35453	19q13.42	AK092772	NM_152600	ZNF	Zinc fingers C2H2-type	28
29473	ZNF580	zinc finger protein 580	Approved			19q13.42	AF184939	NM_016202	ZNF	Zinc fingers C2H2-type	28
25017	ZNF581	zinc finger protein 581	Approved		HSPC189, FLJ22550	19q13.42	AK026203	NM_016535	ZNF	Zinc fingers C2H2-type	28
26421	ZNF582	zinc finger protein 582	Approved		FLJ30927	19q13.43	AK055489	NM_144690	ZNF	Zinc fingers C2H2-type	28
26427	ZNF583	zinc finger protein 583	Approved		FLJ31030	19q13.43	AK055592	NM_152478	ZNF	Zinc fingers C2H2-type	28
27318	ZNF584	zinc finger protein 584	Approved		FLJ39899	19q13.43	AK097218	NM_173548	ZNF	Zinc fingers C2H2-type	28
26305	ZNF585A	zinc finger protein 585A	Approved		FLJ23765	19q13.13	AK074345	NM_152655	ZNF	Zinc fingers C2H2-type	28
30948	ZNF585B	zinc finger protein 585B	Approved		FLJ14928, SZFP41	19q13.13	AK027834	NM_152279	ZNF	Zinc fingers C2H2-type	28
25949	ZNF586	zinc finger protein 586	Approved		FLJ20070	19q13.43	AK095993	NM_017652	ZNF	Zinc fingers C2H2-type	28
30955	ZNF587	zinc finger protein 587	Approved		ZF6, FLJ14710, UBF-fl, FLJ20813	19q13.43	AF294842	NM_032828	ZNF	Zinc fingers C2H2-type	28
37142	ZNF587B	zinc finger protein 587B	Approved			19q13.43	AK299091	NM_001204818	ZNF	Zinc fingers C2H2-type	28
16747	ZNF589	zinc finger protein 589	Approved		SZF1	3p21.31	AF114816	NM_016089	ZNF	Zinc fingers C2H2-type	28
28986	ZNF592	zinc finger protein 592	Approved	SCAR5	KIAA0211, CAMOS	15q25.2	D86966	NM_014630	ZNF	Zinc fingers C2H2-type	28
29392	ZNF594	zinc finger protein 594	Approved		KIAA1871	17p13.2	AB058774	XM_290737	ZNF	Zinc fingers C2H2-type	28
27196	ZNF595	zinc finger protein 595	Approved		FLJ31740	4p16.3	BX537887	NM_182524	ZNF	Zinc fingers C2H2-type	28
27268	ZNF596	zinc finger protein 596	Approved			8p23.3	BC026190	NM_173539	ZNF	Zinc fingers C2H2-type	28
26573	ZNF597	zinc finger protein 597	Approved		FLJ33071, HIT-4	16p13.3	AK057633	NM_152457	ZNF	Zinc fingers C2H2-type	28
28079	ZNF598	zinc finger protein 598	Approved		FLJ00086, HEL2	16p13.3	BC029270	NM_178167	ZNF	Zinc fingers C2H2-type	28
26408	ZNF599	zinc finger protein 599	Approved		FLJ30663	19q13.13	AK055225	XM_086046	ZNF	Zinc fingers C2H2-type	28
30951	ZNF600	zinc finger protein 600	Approved		KR-ZNF1, DKFZp686F06123	19q13.42	U52096	NM_198457	ZNF	Zinc fingers C2H2-type	28
28068	ZNF605	zinc finger protein 605	Approved			12q24.33	AL832623	NM_183238	ZNF	Zinc fingers C2H2-type	28
25879	ZNF606	zinc finger protein 606	Approved	ZNF328	FLJ14260, KIAA1852	19q13.43	AB058755	NM_025027	ZNF	Zinc fingers C2H2-type	28
28192	ZNF607	zinc finger protein 607	Approved		MGC13071, FLJ14802	19q13.1	AK127464	NM_032689	ZNF	Zinc fingers C2H2-type	28
29238	ZNF608	zinc finger protein 608	Approved		KIAA1281, DKFZp434M098, NY-REN-36	5q23.2	AB033107	XM_114432	ZNF	Zinc fingers C2H2-type	28
29003	ZNF609	zinc finger protein 609	Approved		KIAA0295	15q22.1	BC014251	XM_042833	ZNF	Zinc fingers C2H2-type	28
26687	ZNF610	zinc finger protein 610	Approved		FLJ36040	19q13.41	AK093359	NM_173530	ZNF	Zinc fingers C2H2-type	28
28766	ZNF611	zinc finger protein 611	Approved		MGC5384	19q13.41	AK091389	NM_030972	ZNF	Zinc fingers C2H2-type	28
25827	ZNF613	zinc finger protein 613	Approved		FLJ13590	19q13.41	AK027565	NM_024840	ZNF	Zinc fingers C2H2-type	28
24722	ZNF614	zinc finger protein 614	Approved		FLJ21941	19q13.41	BC022246	NM_025040	ZNF	Zinc fingers C2H2-type	28
24740	ZNF615	zinc finger protein 615	Approved		FLJ33710	19q13.41	AK096691	NM_198480	ZNF	Zinc fingers C2H2-type	28
28062	ZNF616	zinc finger protein 616	Approved		MGC45556	19q13.41	AK092266	XM_030892	ZNF	Zinc fingers C2H2-type	28
29416	ZNF618	zinc finger protein 618	Approved		KIAA1952, NEDD10	9q32	BC012922	XM_054983	ZNF	Zinc fingers C2H2-type	28
26910	ZNF619	zinc finger protein 619	Approved		FLJ90764	3p22.1	AK075245	NM_173656	ZNF	Zinc fingers C2H2-type	28
28742	ZNF620	zinc finger protein 620	Approved		MGC50836	3p22.1	AK093599	XM_171060	ZNF	Zinc fingers C2H2-type	28
24787	ZNF621	zinc finger protein 621	Approved		FLJ45246	3p22.1	AK127181	NM_198484	ZNF	Zinc fingers C2H2-type	28
29084	ZNF623	zinc finger protein 623	Approved		KIAA0628	8q24.3	AB014528	NM_014789	ZNF	Zinc fingers C2H2-type	28
29254	ZNF624	zinc finger protein 624	Approved		KIAA1349	17p11.2	AB037770	XM_047617	ZNF	Zinc fingers C2H2-type	28
