Gene stable ID	Gene name	Chromosome name	Gene start	Gene end	Strand
ENSG00000275323	RPS9	CHR_HSCHR19LRC_LRC_J_CTG3_1	54201473	54208260	1
ENSG00000268674	FAM231D	KI270713.1	35407	35916	1
ENSG00000276253	AC243790.1	CHR_HSCHR15_4_CTG8	30361040	30361438	1
ENSG00000273642	AC012314.1	CHR_HSCHR19LRC_LRC_J_CTG3_1	54102906	54107026	1
ENSG00000273875	TARM1	CHR_HSCHR19LRC_PGF2_CTG3_1	54069947	54081380	-1
ENSG00000276220	AC012314.8	CHR_HSCHR19LRC_COX2_CTG3_1	54102906	54107026	1
ENSG00000281894	ZKSCAN7	CHR_HG2066_PATCH	44555193	44594173	1
ENSG00000276982	OSCAR	CHR_HSCHR19LRC_LRC_J_CTG3_1	54094681	54102740	-1
ENSG00000268991	FAM231B	1	16539066	16539575	1
ENSG00000012983	MAP4K5	14	50418501	50561126	-1
ENSG00000151748	SAV1	14	50632058	50668331	-1
ENSG00000126456	IRF3	19	49659569	49665875	-1
ENSG00000149292	TTC12	11	113314529	113383544	1
ENSG00000141858	SAMD1	19	14087840	14091036	-1
ENSG00000112941	PAPD7	5	6713007	6757048	1
ENSG00000262660	AC139530.2	17	81703371	81720539	1
ENSG00000262814	MRPL12	17	81703357	81707526	1
ENSG00000058673	ZC3H11A	1	203795654	203854999	1
ENSG00000176605	C14orf177	14	98711613	98717761	1
ENSG00000137726	FXYD6	11	117836976	117877486	-1
ENSG00000105357	MYH14	19	50188186	50310545	1
ENSG00000133055	MYBPH	1	203167811	203175813	-1
ENSG00000188766	SPRED3	19	38388421	38399587	1
ENSG00000165684	SNAPC4	9	136375577	136400168	-1
ENSG00000183475	ASB7	15	100602534	100651705	1
ENSG00000108559	NUP88	17	5360963	5420160	-1
ENSG00000153823	PID1	2	228850526	229271285	-1
ENSG00000175602	CCDC85B	11	65890112	65891635	1
ENSG00000174059	CD34	1	207880972	207911402	-1
ENSG00000186318	BACE1	11	117285207	117316259	-1
ENSG00000198888	MT-ND1	MT	3307	4262	1
ENSG00000198763	MT-ND2	MT	4470	5511	1
ENSG00000198804	MT-CO1	MT	5904	7445	1
ENSG00000198712	MT-CO2	MT	7586	8269	1
ENSG00000163431	LMOD1	1	201896452	201946588	-1
ENSG00000170549	IRX1	5	3596054	3601403	1
ENSG00000228253	MT-ATP8	MT	8366	8572	1
ENSG00000241978	AKAP2	9	110048598	110172512	1
ENSG00000198899	MT-ATP6	MT	8527	9207	1
ENSG00000235754	APOM	CHR_HSCHR6_MHC_SSTO_CTG1	31643159	31648952	1
ENSG00000268870	AC008758.5	19	12391949	12441082	-1
ENSG00000198938	MT-CO3	MT	9207	9990	1
ENSG00000129667	RHBDF2	17	76470891	76501790	-1
ENSG00000198840	MT-ND3	MT	10059	10404	1
ENSG00000212907	MT-ND4L	MT	10470	10766	1
ENSG00000156575	PRG3	11	57376769	57381150	-1
ENSG00000117834	SLC5A9	1	48222685	48248644	1
ENSG00000198886	MT-ND4	MT	10760	12137	1
ENSG00000170482	SLC23A1	5	139367196	139384553	-1
ENSG00000198786	MT-ND5	MT	12337	14148	1
ENSG00000198695	MT-ND6	MT	14149	14673	-1
ENSG00000099290	WASHC2A	10	50067888	50133506	1
ENSG00000198727	MT-CYB	MT	14747	15887	1
ENSG00000143119	CD53	1	110873154	110899928	1
ENSG00000116962	NID1	1	235975830	236065162	-1
ENSG00000106780	MEGF9	9	120600813	120714470	-1
ENSG00000215397	SCRT2	20	661596	676179	-1
ENSG00000204149	AGAP6	10	49982190	50010499	1
ENSG00000160185	UBASH3A	21	42403447	42447681	1
ENSG00000162076	FLYWCH2	16	2883186	2899382	1
ENSG00000229833	PET100	19	7629737	7631956	1
ENSG00000205209	SCGB2B2	19	34593329	34675699	-1
ENSG00000129951	PLPPR3	19	812488	821977	-1
ENSG00000197889	MEIG1	10	14959439	14988050	1
ENSG00000179044	EXOC3L1	16	67184366	67190204	-1
ENSG00000187510	PLEKHG7	12	92721462	92772455	1
ENSG00000117335	CD46	1	207752057	207795513	1
ENSG00000113318	MSH3	5	80654648	80876460	1
ENSG00000116353	MECR	1	29192873	29230942	-1
ENSG00000140459	CYP11A1	15	74337759	74367740	-1
ENSG00000183644	C11orf88	11	111514785	111537031	1
ENSG00000137707	BTG4	11	111467526	111512354	-1
ENSG00000196814	MVB12B	9	126326849	126507041	1
ENSG00000257127	CLLU1	12	92421531	92431002	1
ENSG00000158258	CLSTN2	3	139935185	140577397	1
ENSG00000124191	TOX2	20	43914864	44069616	1
ENSG00000144744	UBA3	3	69054730	69080408	-1
ENSG00000198846	TOX	8	58805418	59119208	-1
ENSG00000053254	FOXN3	14	89124871	89619149	-1
ENSG00000123643	SLC36A1	5	151437046	151492381	1
ENSG00000257065	AL049844.1	6	143807092	143844617	1
ENSG00000021852	C8B	1	56929210	56966140	-1
ENSG00000187486	KCNJ11	11	17385859	17389331	-1
ENSG00000155087	ODF1	8	102551572	102561017	1
ENSG00000100284	TOM1	22	35299275	35347994	1
ENSG00000268916	CSAG3	X	152753921	152760222	1
ENSG00000214827	MTCP1	X	155061622	155147937	-1
ENSG00000160803	UBQLN4	1	156035301	156053794	-1
ENSG00000186020	ZNF529	19	36534774	36605276	-1
ENSG00000075914	EXOSC7	3	44975241	45036066	1
ENSG00000258659	TRIM34	11	5619764	5644398	1
ENSG00000167083	GNGT2	17	49202791	49210574	-1
ENSG00000162885	B3GALNT2	1	235449923	235504481	-1
ENSG00000279983	AC244517.10	5	141223372	141245861	1
ENSG00000250719	AL672043.1	1	46175486	46176478	-1
ENSG00000160284	SPATC1L	21	46161148	46184476	-1
ENSG00000117461	PIK3R3	1	46040140	46133036	-1
ENSG00000104967	NOVA2	19	45933734	45973546	-1
ENSG00000223609	HBD	11	5232678	5235370	-1
ENSG00000099617	EFNA2	19	1286154	1300237	1
ENSG00000235220	HLA-F	CHR_HSCHR6_MHC_DBB_CTG1	29720256	29736008	1
ENSG00000274473	SCT	CHR_HSCHR11_1_CTG8	626689	627401	-1
ENSG00000175329	ISX	22	35066136	35087387	1
ENSG00000236237	LTB	CHR_HSCHR6_MHC_MCF_CTG1	31656860	31658827	-1
ENSG00000165868	HSPA12A	10	116671192	116849741	-1
ENSG00000276896	GOLGA8F	CHR_HSCHR15_1_CTG8	28378587	28391990	1
ENSG00000152422	XRCC4	5	83077498	83353787	1
ENSG00000259803	SLC22A31	16	89195761	89201664	-1
ENSG00000160325	CACFD1	9	133459965	133470848	1
ENSG00000215883	CYB5RL	1	54169651	54200036	-1
ENSG00000135083	CCNJL	5	160251652	160345396	-1
ENSG00000240871	KRTAP4-7	17	41084150	41085141	1
ENSG00000140691	ARMC5	16	31458080	31467166	1
ENSG00000250821	EXOC1L	4	55819819	55837487	1
ENSG00000256407	AL357673.1	1	54132686	54200073	-1
ENSG00000171014	OR4D5	11	123939543	123940637	1
ENSG00000141298	SSH2	17	29625938	29930276	-1
ENSG00000143001	TMEM61	1	54980792	54992293	1
ENSG00000258881	AC007040.2	2	70939318	70995336	-1
ENSG00000255408	PCDHA3	5	140801028	141012344	1
ENSG00000160323	ADAMTS13	9	133414358	133459402	1
ENSG00000198554	WDHD1	14	54938950	55027105	-1
ENSG00000204444	APOM	6	31652416	31658210	1
ENSG00000254986	DPP3	11	66480013	66509657	1
ENSG00000189144	ZNF573	19	37735833	37817300	-1
ENSG00000137818	RPLP1	15	69452784	69456194	1
ENSG00000160447	PKN3	9	128702523	128720918	1
ENSG00000158234	FAIM	3	138608606	138633376	1
ENSG00000185666	SYN3	22	32512552	33058372	-1
ENSG00000087074	PPP1R15A	19	48872392	48876057	1
ENSG00000256349	AP002748.4	11	66509079	66533613	1
ENSG00000100234	TIMP3	22	32801701	32863043	1
