HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
4170	GATA1	GATA binding protein 1	Approved	GF1	"ERYF1, NFE1, GATA-1, NF-E1"	Xp11.23	X17254	NM_002049	GATAD	GATA zinc finger domain containing	82
4171	GATA2	GATA binding protein 2	Approved		NFE1B	3q21.3	AF169253	NM_032638	GATAD	GATA zinc finger domain containing	82
4172	GATA3	GATA binding protein 3	Approved		HDR	10p14	X55122	NM_001002295	GATAD	GATA zinc finger domain containing	82
4173	GATA4	GATA binding protein 4	Approved			8p23.1	AK097060	NM_002052	GATAD	GATA zinc finger domain containing	82
15802	GATA5	GATA binding protein 5	Approved		"bB379O24.1, GATAS"	20q13.33	"BC047790, BC117356"	NM_080473	GATAD	GATA zinc finger domain containing	82
4174	GATA6	GATA binding protein 6	Approved			18q11.2	U66075	NM_005257	GATAD	GATA zinc finger domain containing	82
29941	GATAD1	GATA zinc finger domain containing 1	Approved		"ODAG, RG083M05.2, FLJ22489"	7q21.2		NM_021167	GATAD	GATA zinc finger domain containing	82
29989	GATAD2A	GATA zinc finger domain containing 2A	Approved		p66alpha	19p13.11	AL390164	NM_017660	GATAD	GATA zinc finger domain containing	82
30778	GATAD2B	GATA zinc finger domain containing 2B	Approved		P66beta	1q21.3	AF411836	NM_020699	GATAD	GATA zinc finger domain containing	82
37245	ZGLP1	"zinc finger, GATA-like protein 1"	Approved		"GLP1, GLP-1, GATAD3"	19p13.2	AK096830	NM_001103167	GATAD	GATA zinc finger domain containing	82
7410	MTA1	metastasis associated 1	Approved			14q32.33	U35113		GATAD	GATA zinc finger domain containing	82
7411	MTA2	metastasis associated 1 family member 2	Approved	MTA1L1	MTA1-L1	11q12.3	AB016591	NM_004739	GATAD	GATA zinc finger domain containing	82
23784	MTA3	metastasis associated 1 family member 3	Approved		KIAA1266	2p21	AB033092	NM_020744	GATAD	GATA zinc finger domain containing	82
9965	RERE	arginine-glutamic acid dipeptide repeats	Approved	ATN1L	"KIAA0458, ARP, ARG, DNB1"	1p36.23	AF016005		GATAD	GATA zinc finger domain containing	82
12340	TRPS1	transcriptional repressor GATA binding 1	Approved		"LGCR, GC79"	8q23.3	AF183810	NM_014112	GATAD	GATA zinc finger domain containing	82
6616	LIMS1	LIM zinc finger domain containing 1	Approved		"PINCH, PINCH1"	2q12.3		NM_004987	LIMS	LIM zinc finger domain containing	1163
16084	LIMS2	LIM zinc finger domain containing 2	Approved		"PINCH2, PINCH-2"	2q14.3	AF520987	NM_017980	LIMS	LIM zinc finger domain containing	1163
30047	LIMS3	LIM zinc finger domain containing 3	Approved			2q13	AF288404	NM_033514	LIMS	LIM zinc finger domain containing	1163
39941	LIMS4	LIM zinc finger domain containing 4	Approved	LIMS3L		2q13	AK298340	NM_001205288	LIMS	LIM zinc finger domain containing	1163
360	AIRE	autoimmune regulator	Approved	APECED	"PGA1, APS1"	21q22.3	AB006684		PHF	PHD finger proteins	88
19088	ASH1L	ASH1 like histone lysine methyltransferase	Approved		"huASH1, ASH1, ASH1L1, KMT2H"	1q22	AB037841	NM_018489	PHF	PHD finger proteins	88
744	ASH2L	"ASH2 like, histone lysine methyltransferase complex subunit"	Approved	ASH2L1	"ASH2L2, ASH2, Bre2"	8p11.23	AF056717	NM_004674	PHF	PHD finger proteins	88
960	BAZ1A	bromodomain adjacent to zinc finger domain 1A	Approved		"hACF1, ACF1, WALp1, WCRF180"	14q13.1-q13.2	AB032252		PHF	PHD finger proteins	88
961	BAZ1B	bromodomain adjacent to zinc finger domain 1B	Approved	"WBSCR9, WBSCR10"	WSTF	7q11.23	AF084479	NM_032408	PHF	PHD finger proteins	88
962	BAZ2A	bromodomain adjacent to zinc finger domain 2A	Approved		"KIAA0314, TIP5, WALp3"	12q13.3	AB032254	NM_013449	PHF	PHD finger proteins	88
963	BAZ2B	bromodomain adjacent to zinc finger domain 2B	Approved		WALp4	2q24.2	AB032255		PHF	PHD finger proteins	88
3581	BPTF	bromodomain PHD finger transcription factor	Approved	FALZ	"FAC1, NURF301"	17q24.2	AY282495	"NM_182641, NM_004459"	PHF	PHD finger proteins	88
1102	BRD1	bromodomain containing 1	Approved		"BRL, BRPF2"	22q13.33	AF005067	NM_014577	PHF	PHD finger proteins	88
14255	BRPF1	bromodomain and PHD finger containing 1	Approved		BR140	3p25.3	M91585	NM_001003694	PHF	PHD finger proteins	88
14256	BRPF3	bromodomain and PHD finger containing 3	Approved		KIAA1286	6p21.31	AB033112	NM_015695	PHF	PHD finger proteins	88
1918	CHD3	chromodomain helicase DNA binding protein 3	Approved		"Mi-2a, ZFH, Mi2-ALPHA"	17p13.1	U08379	NM_001005273	PHF	PHD finger proteins	88
1919	CHD4	chromodomain helicase DNA binding protein 4	Approved		"Mi-2b, Mi2-BETA"	12p13.31	X86691	NM_001273	PHF	PHD finger proteins	88
16816	CHD5	chromodomain helicase DNA binding protein 5	Approved			1p36.31	AF425231	NM_015557	PHF	PHD finger proteins	88
24343	CXXC1	CXXC finger protein 1	Approved		"HsT2645, PCCX1, hCGBP, PHF18, CGBP, SPP1, CFP1, ZCGPC1"	18q21.1	BC014940	NM_014593	PHF	PHD finger proteins	88
2680	DIDO1	death inducer-obliterator 1	Approved	"C20orf158, DATF1"	"DIO1, dJ885L7.8, FLJ11265, KIAA0333, DIO-1, BYE1"	20q13.33	AB002331	NM_080796	PHF	PHD finger proteins	88
20225	DPF1	double PHD fingers 1	Approved		"neuro-d4, NEUD4, BAF45b"	19q13.2	U43843		PHF	PHD finger proteins	88
9964	DPF2	double PHD fingers 2	Approved	REQ	"ubi-d4, BAF45d"	11q13.1	U94585	NM_006268	PHF	PHD finger proteins	88
17427	DPF3	double PHD fingers 3	Approved		"cer-d4, Cerd4, FLJ14079, BAF45c"	14q24.2	U43919		PHF	PHD finger proteins	88
25300	FBXL19	F-box and leucine rich repeat protein 19	Approved		"DKFZp434K0410, Fbl19, JHDM1C, CXXC11"	16p11.2	AK127701	NM_019085	PHF	PHD finger proteins	88
6062	ING1	inhibitor of growth family member 1	Approved		"p33ING1, p33ING1b, p24ING1c, p33, p47, p47ING1a"	13q34		NM_005537	PHF	PHD finger proteins	88
6063	ING2	inhibitor of growth family member 2	Approved	ING1L	p33ING2	4q35.1	AB012853	NM_001564	PHF	PHD finger proteins	88
14587	ING3	inhibitor of growth family member 3	Approved		"p47ING3, FLJ20089, Eaf4, MEAF4"	7q31.31	AF074968	NM_019071	PHF	PHD finger proteins	88
19423	ING4	inhibitor of growth family member 4	Approved		"p29ING4, my036"	12p13.31	AF063594	NM_198287	PHF	PHD finger proteins	88
19421	ING5	inhibitor of growth family member 5	Approved		"FLJ23842, p28ING5"	2q37.3	AF189286	NM_032329	PHF	PHD finger proteins	88
13013	KAT6A	lysine acetyltransferase 6A	Approved	"ZNF220, RUNXBP2, MYST3"	"MOZ, ZC2HC6A"	8p11.21	U47742	NM_006766	PHF	PHD finger proteins	88
17582	KAT6B	lysine acetyltransferase 6B	Approved	MYST4	"querkopf, qkf, Morf, MOZ2, ZC2HC6B"	10q22.2	AF113514	NM_012330	PHF	PHD finger proteins	88
13606	KDM2A	lysine demethylase 2A	Approved	FBXL11	"KIAA1004, FBL11, LILINA, DKFZP434M1735, FBL7, FLJ00115, CXXC8, JHDM1A"	11q13.2	BC047486	NM_012308	PHF	PHD finger proteins	88
13610	KDM2B	lysine demethylase 2B	Approved	FBXL10	"PCCX2, CXXC2, Fbl10, JHDM1B"	12q24.31	AJ459424	NM_032590	PHF	PHD finger proteins	88
9886	KDM5A	lysine demethylase 5A	Approved	"RBBP2, JARID1A"		12p13.33		NM_005056	PHF	PHD finger proteins	88
