HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
18275	ABTB1	ankyrin repeat and BTB domain containing 1	Approved		BPOZ, EF1ABP, Btb3, BTBD21	3q21.3	AB053324	NM_172027	ANKRD	Ankyrin repeat domain containing	403
23842	ABTB2	ankyrin repeat and BTB domain containing 2	Approved		DKFZP586C1619, BTBD22, ABTB2A	11p13	AK056863	NM_145804	ANKRD	Ankyrin repeat domain containing	403
16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Approved	CENTB1	KIAA0050	17p13.1	D30758	NM_014716	ANKRD	Ankyrin repeat domain containing	403
16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Approved	CENTB2	KIAA0041, CNT-B2	3q29		NM_012287	ANKRD	Ankyrin repeat domain containing	403
16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Approved	CENTB5	KIAA1716	1p36.33	AF411981	NM_030649	ANKRD	Ankyrin repeat domain containing	403
23339	ACBD6	acyl-CoA binding domain containing 6	Approved		MGC2404	1q25.2-q25.3	BC006505	NM_032360	ANKRD	Ankyrin repeat domain containing	403
16922	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	Approved	CENTG2	KIAA1099, GGAP1	2q37.2	AF413078	NM_014914	ANKRD	Ankyrin repeat domain containing	403
29421	AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11	Approved		KIAA1975	10q23.2		NM_133447	ANKRD	Ankyrin repeat domain containing	403
16921	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	Approved	CENTG1		12q14.1	AF413077	NM_014770	ANKRD	Ankyrin repeat domain containing	403
16923	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	Approved	CENTG3		7q36.1	AF413079	NM_031946	ANKRD	Ankyrin repeat domain containing	403
