HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
463	AMFR	autocrine motility factor receptor	Approved		RNF45, gp78	16q13	L35233		RNF	Ring finger proteins	58
14452	ANAPC11	anaphase promoting complex subunit 11	Approved		HSPC214, APC11, Apc11p, MGC882	17q25.3	AF247565	NM_016476	RNF	Ring finger proteins	58
952	BARD1	BRCA1 associated RING domain 1	Approved			2q35		NM_000465	RNF	Ring finger proteins	58
17613	BFAR	bifunctional apoptosis regulator	Approved		BAR, RNF47	16p13.12	AF173003	NM_016561	RNF	Ring finger proteins	58
590	BIRC2	baculoviral IAP repeat containing 2	Approved	API1	cIAP1, hiap-2, MIHB, RNF48, c-IAP1	11q22.2	L49431	NM_001166	RNF	Ring finger proteins	58
591	BIRC3	baculoviral IAP repeat containing 3	Approved	API2	cIAP2, hiap-1, MIHC, RNF49, MALT2, c-IAP2	11q22.2	L49432	NM_001165	RNF	Ring finger proteins	58
13702	BIRC7	baculoviral IAP repeat containing 7	Approved		mliap, ML-IAP, KIAP, RNF50	20q13.33	AF301009	NM_139317	RNF	Ring finger proteins	58
14878	BIRC8	baculoviral IAP repeat containing 8	Approved		ILP-2, hILP2, RNF136	19q13.42	AF164682	NM_033341	RNF	Ring finger proteins	58
1066	BMI1	BMI1 proto-oncogene, polycomb ring finger	Approved	PCGF4	RNF51	10p12.2	BC011652	NM_005180	RNF	Ring finger proteins	58
1099	BRAP	BRCA1 associated protein	Approved		BRAP2, RNF52, IMP	12q24.12	AF035620		RNF	Ring finger proteins	58
1100	BRCA1	BRCA1, DNA repair associated	Approved		RNF53, BRCC1, PPP1R53, FANCS	17q21.31	U14680	NM_007294	RNF	Ring finger proteins	58
1541	CBL	Cbl proto-oncogene	Approved	CBL2	RNF55, c-Cbl	11q23.3	X57110	NM_005188	RNF	Ring finger proteins	58
1542	CBLB	Cbl proto-oncogene B	Approved		RNF56, Cbl-b	3q13.11	U26710	NM_170662	RNF	Ring finger proteins	58
15961	CBLC	Cbl proto-oncogene C	Approved		CBL-3, CBL-SL, RNF57	19q13.32	AB028645	NM_012116	RNF	Ring finger proteins	58
21225	CBLL1	Cbl proto-oncogene like 1	Approved		HAKAI, FLJ23109, RNF188	7q22.3	AK026762	NM_024814	RNF	Ring finger proteins	58
19437	CCNB1IP1	cyclin B1 interacting protein 1	Approved	C14orf18	HEI10	14q11.2	AF216381	NM_021178, NM_182849, NM_182851, NM_182852	RNF	Ring finger proteins	58
15528	CGRRF1	cell growth regulator with ring finger domain 1	Approved		CGR19, RNF197	14q22.2	BC015063	NM_006568	RNF	Ring finger proteins	58
20455	CHFR	checkpoint with forkhead and ring finger domains	Approved		FLJ10796, RNF196	12q24.33	AK001658		RNF	Ring finger proteins	58
13164	CNBP	CCHC-type zinc finger nucleic acid binding protein	Approved	DM2, ZNF9	RNF163, ZCCHC22, CNBP1	3q21.3	U19765	NM_003418	RNF	Ring finger proteins	58
7880	CNOT4	CCR4-NOT transcription complex subunit 4	Approved	NOT4	CLONE243, NOT4H	7q33	AF180475	NM_013316	RNF	Ring finger proteins	58
17440	COP1	COP1, E3 ubiquitin ligase	Approved	RFWD2	FLJ10416, RNF200	1q25.1-q25.2	AK001278	NM_022457	RNF	Ring finger proteins	58
17806	CYHR1	cysteine and histidine rich 1	Approved		CHRP, KIAA0496, MGC13010	8q24.3	AB007965	NM_032687	RNF	Ring finger proteins	58
26539	DCST1	DC-STAMP domain containing 1	Approved		FLJ32785	1q21.3	AK057347	NM_152494	RNF	Ring finger proteins	58
3060	DTX1	deltex E3 ubiquitin ligase 1	Approved		hDx-1, RNF140	12q24.13	AF053700		RNF	Ring finger proteins	58
15973	DTX2	deltex E3 ubiquitin ligase 2	Approved		RNF58, KIAA1528	7q11.23			RNF	Ring finger proteins	58
24457	DTX3	deltex E3 ubiquitin ligase 3	Approved		FLJ34766, RNF154	12q13.3	AK094385	NM_178502	RNF	Ring finger proteins	58
30323	DTX3L	deltex E3 ubiquitin ligase 3L	Approved		BBAP, RNF143	3q21.1		NM_138287	RNF	Ring finger proteins	58
29151	DTX4	deltex E3 ubiquitin ligase 4	Approved		KIAA0937, RNF155	11q12.1	AB023154	XM_166213	RNF	Ring finger proteins	58
30938	DZIP3	DAZ interacting zinc finger protein 3	Approved		hRUL138, PPP1R66	3q13.13	AF279370	NM_014648	RNF	Ring finger proteins	58
11099	HLTF	helicase like transcription factor	Approved	SNF2L3, SMARCA3	HIP116A, HLTF1, RNF80	3q24	L34673		RNF	Ring finger proteins	58
6657	LNX1	ligand of numb-protein X 1	Approved	LNX	MPDZ, PDZRN2	4q12	AF237782		RNF	Ring finger proteins	58
