HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
18275	ABTB1	ankyrin repeat and BTB domain containing 1	Approved		BPOZ, EF1ABP, Btb3, BTBD21	3q21.3	AB053324	NM_172027	BTBD	BTB domain containing	861
23842	ABTB2	ankyrin repeat and BTB domain containing 2	Approved		DKFZP586C1619, BTBD22, ABTB2A	11p13	AK056863	NM_145804	BTBD	BTB domain containing	861
20763	ANKFY1	ankyrin repeat and FYVE domain containing 1	Approved		ANKHZN, KIAA1255, ZFYVE14, BTBD23, RANK-5	17p13.2	AB033081	NM_016376	BTBD	BTB domain containing	861
935	BACH1	BTB domain and CNC homolog 1	Approved		BACH-1, BTBD24	21q21.3	AF026200	NM_206866	BTBD	BTB domain containing	861
14078	BACH2	BTB domain and CNC homolog 2	Approved		BTBD25	6q15	AL121787	NM_021813	BTBD	BTB domain containing	861
1001	BCL6	BCL6, transcription repressor	Approved	ZNF51	ZBTB27, LAZ3, BCL5, BCL6A	3q27.3		NM_001706	BTBD	BTB domain containing	861
1002	BCL6B	BCL6B, transcription repressor	Approved	ZNF62	ZBTB28, BAZF	17p13.1	AI672318	NM_181844	BTBD	BTB domain containing	861
1120	BTBD1	BTB domain containing 1	Approved			15q25.2	AF355402		BTBD	BTB domain containing	861
21445	BTBD10	BTB domain containing 10	Approved		GMRP1, GMRP-1, MGC13007	11p15.3	AY221959	NM_032320	BTBD	BTB domain containing	861
23844	BTBD11	BTB domain containing 11	Approved		FLJ33957, ABTB2B	12q23.3	AK091276	NM_152322	BTBD	BTB domain containing	861
26340	BTBD16	BTB domain containing 16	Approved	C10orf87	FLJ25359, Em:AC061711.1	10q26.13	AK058088	NM_144587	BTBD	BTB domain containing	861
33758	BTBD17	BTB domain containing 17	Approved		LGALS3BPL, BTBD17A, TANGO10A	17q25.1		NM_001080466	BTBD	BTB domain containing	861
37214	BTBD18	BTB domain containing 18	Approved			11q12.1		NM_001145101	BTBD	BTB domain containing	861
27145	BTBD19	BTB domain containing 19	Approved			1p34.1		NM_001136537	BTBD	BTB domain containing	861
15504	BTBD2	BTB domain containing 2	Approved			19p13.3	AF355797		BTBD	BTB domain containing	861
15854	BTBD3	BTB domain containing 3	Approved		KIAA0952, dJ742J24.1	20p12.2	AB023169		BTBD	BTB domain containing	861
