Chr	Input_vcf_num	output_SNV_num	Reassign_ref_acd_AA(only)	Swap_VCF_ref&alt(only)	reassign_AA&Correcting_VCF	percentage
chr1	23549502	23962931	0	14	350615	0.014632142
chr2	25916882	26414921	0	3	394953	0.014952004
chr3	21242329	21607007	0	2	320206	0.014819637
chr4	20561492	20883402	0	0	329815	0.015793164
chr5	19228502	19579913	0	3	292589	0.014943478
chr6	18087766	18347700	0	3	277694	0.015135249
chr7	16821457	17117757	0	1	258911	0.015125346
chr8	16607938	16994803	0	0	267491	0.015739576
chr9	13090080	13371127	0	0	207571	0.015523822
chr10	14136242	14369663	0	30	218627	0.015216571
chr11	14541331	14818935	0	4	217024	0.014645317
chr12	14052106	14296956	0	1	210908	0.014752021
chr13	10282528	10431532	0	3	162105	0.015540191
chr14	9592712	9762792	0	0	142544	0.014600741
chr15	8685890	8844934	0	0	134725	0.015231883
chr16	9771082	10080614	0	2	159412	0.015813918
chr17	8491035	8670899	0	1	123165	0.014204525
chr18	8111493	8238124	0	0	128296	0.015573449
chr19	6635574	6800896	0	0	99518	0.014633072
chr20	6677941	6808230	0	0	103498	0.015201895
chr21	3951749	4018339	0	0	66573	0.016567293
chr22	3973028	4058102	0	1	60929	0.015014408
chrX	10954188	11012231	93	105314	162864	0.024361185
chrY	561797	561865	93	105313	19905	0.223026884
chrMT	2088	2433	0	0	414	0.170160296
Sum	305526732	311056106	186	210695	4710352	0.015821046
