HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
163	ACTN1	actinin alpha 1	Approved			14q24.1	M95178	NM_001102	ACTN	Actinins	1112
164	ACTN2	actinin alpha 2	Approved			1q43	BC047901	NM_001103	ACTN	Actinins	1112
165	ACTN3	actinin alpha 3 (gene/pseudogene)	Approved			11q13.2	M86407	NM_001104	ACTN	Actinins	1112
166	ACTN4	actinin alpha 4	Approved	FSGS1		19q13.2	D89980		ACTN	Actinins	1112
352	AIF1	allograft inflammatory factor 1	Approved		IRT-1, AIF-1, Em:AF129756.17, IBA1	6p21.33	U19713			EF-hand domain containing	863
28904	AIF1L	allograft inflammatory factor 1 like	Approved	C9orf58	IBA2, FLJ12783	9q34.12-q34.13	AL136566	NM_031426		EF-hand domain containing	863
15803	ANKEF1	ankyrin repeat and EF-hand domain containing 1	Approved	ANKRD5	FLJ21669, dJ839B4.6	20p12.2	AK025322	NM_022096		EF-hand domain containing	863
1384	CABP1	calcium binding protein 1	Approved			12q24.31	AF169148	NM_001033677		EF-hand domain containing	863
1385	CABP2	calcium binding protein 2	Approved	DFNB93		11q13.2	AF169154			EF-hand domain containing	863
1386	CABP4	calcium binding protein 4	Approved		CSNB2B	11q13.2	AC005849			EF-hand domain containing	863
13714	CABP5	calcium binding protein 5	Approved	CABP3	CaBP3	19q13.33	AF169159	NM_019855		EF-hand domain containing	863
20834	CABP7	calcium binding protein 7	Approved		MGC57793	22q12.2	BC051805	NM_182527		EF-hand domain containing	863
1389	CACNA1B	calcium voltage-gated channel subunit alpha1 B	Approved	CACNL1A5	Cav2.2, CACNN	9q34.3	AB209467	NM_000718		EF-hand domain containing	863
1392	CACNA1E	calcium voltage-gated channel subunit alpha1 E	Approved	CACNL1A6	Cav2.3, BII, CACH6	1q25.3	AK096563	NM_000721		EF-hand domain containing	863
1434	CALB1	calbindin 1	Approved	CALB		8q21.3		NM_004929		EF-hand domain containing	863
1435	CALB2	calbindin 2	Approved		CAL2	16q22.2	X56667	NM_001740		EF-hand domain containing	863
1442	CALM1	calmodulin 1	Approved	CALML2	CAMI, PHKD, DD132	14q32.11				EF-hand domain containing	863
1445	CALM2	calmodulin 2	Approved		PHKD, CAMII	2p21		NM_001743		EF-hand domain containing	863
1449	CALM3	calmodulin 3	Approved		PHKD	19q13.32				EF-hand domain containing	863
1452	CALML3	calmodulin like 3	Approved		CLP	10p15.1	X13461	NM_005185		EF-hand domain containing	863
