HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
5286	HTR1A	5-hydroxytryptamine receptor 1A	Approved	"ADRB2RL1, ADRBRL1"	5-HT1A	5q12.3	AF498978	NM_000524		"5-hydroxytryptamine receptors, G protein-coupled"	170
5287	HTR1B	5-hydroxytryptamine receptor 1B	Approved		"S12, 5-HT1B, HTR1D2, 5-HT1DB"	6q14.1	BC069065	NM_000863		"5-hydroxytryptamine receptors, G protein-coupled"	170
5289	HTR1D	5-hydroxytryptamine receptor 1D	Approved	HTRL	"RDC4, HT1DA, 5-HT1D"	1p36.12	M89955	NM_000864		"5-hydroxytryptamine receptors, G protein-coupled"	170
5291	HTR1E	5-hydroxytryptamine receptor 1E	Approved		5-HT1E	6q14.3		NM_000865		"5-hydroxytryptamine receptors, G protein-coupled"	170
5292	HTR1F	5-hydroxytryptamine receptor 1F	Approved		"HTR1EL, 5-HT1F"	3p12	L05597	NM_000866		"5-hydroxytryptamine receptors, G protein-coupled"	170
5293	HTR2A	5-hydroxytryptamine receptor 2A	Approved	HTR2	5-HT2A	13q14.2	X57830	NM_000621		"5-hydroxytryptamine receptors, G protein-coupled"	170
5294	HTR2B	5-hydroxytryptamine receptor 2B	Approved		"5-HT(2B), 5-HT2B"	2q37.1		NM_000867		"5-hydroxytryptamine receptors, G protein-coupled"	170
5295	HTR2C	5-hydroxytryptamine receptor 2C	Approved	HTR1C	"5-HT2C, 5HTR2C"	Xq23		NM_000868		"5-hydroxytryptamine receptors, G protein-coupled"	170
5299	HTR4	5-hydroxytryptamine receptor 4	Approved		5-HT4	5q32	Y08756	NM_000870		"5-hydroxytryptamine receptors, G protein-coupled"	170
5300	HTR5A	5-hydroxytryptamine receptor 5A	Approved		5-HT5A	7q36.2		NM_024012		"5-hydroxytryptamine receptors, G protein-coupled"	170
16291	HTR5BP	"5-hydroxytryptamine receptor 5B, pseudogene"	Approved	"GPR134, HTR5B"	5-HT5B	2q14.1	AB065453	NG_008325		"5-hydroxytryptamine receptors, G protein-coupled"	170
5301	HTR6	5-hydroxytryptamine receptor 6	Approved		"5-HT6, 5-HT6R"	1p36.13	L41147	NM_000871		"5-hydroxytryptamine receptors, G protein-coupled"	170
5302	HTR7	5-hydroxytryptamine receptor 7	Approved		5-HT7	10q23.31	BC047526	NM_000872		"5-hydroxytryptamine receptors, G protein-coupled"	170
262	ADORA1	adenosine A1 receptor	Approved		RDC7	1q32.1	BC026340	NM_000674	ADORA	Adenosine receptors	211
263	ADORA2A	adenosine A2a receptor	Approved	ADORA2	RDC8	22q11.23	X68486	NM_000675	ADORA	Adenosine receptors	211
264	ADORA2B	adenosine A2b receptor	Approved			17p12	M97759		ADORA	Adenosine receptors	211
268	ADORA3	adenosine A3 receptor	Approved		AD026	1p13.2	BC029831	"NM_000677, NM_020683"	ADORA	Adenosine receptors	211
277	ADRA1A	adrenoceptor alpha 1A	Approved	ADRA1C	ADRA1L1	8p21.2	L31774	NM_033303	ADR	Adrenoceptors	169
278	ADRA1B	adrenoceptor alpha 1B	Approved			5q33.3	L31773		ADR	Adrenoceptors	169
280	ADRA1D	adrenoceptor alpha 1D	Approved		"ADRA1R, ADRA1A, ADRA1"	20p13	U03864	NM_000678	ADR	Adrenoceptors	169
281	ADRA2A	adrenoceptor alpha 2A	Approved	"ADRA2, ADRA2R"	ADRAR	10q25.2	AF284095	NM_000681	ADR	Adrenoceptors	169
282	ADRA2B	adrenoceptor alpha 2B	Approved	"ADRA2L1, ADRA2RL1"	ADRARL1	2q11.2	M34041		ADR	Adrenoceptors	169
283	ADRA2C	adrenoceptor alpha 2C	Approved	"ADRA2L2, ADRA2RL2"	ADRARL2	4p16.3	AY455666	NM_000683	ADR	Adrenoceptors	169
285	ADRB1	adrenoceptor beta 1	Approved	ADRB1R		10q25.3	J03019		ADR	Adrenoceptors	169
286	ADRB2	adrenoceptor beta 2	Approved	ADRB2R	"ADRBR, BAR, B2AR"	5q32	AF022953	NM_000024	ADR	Adrenoceptors	169
288	ADRB3	adrenoceptor beta 3	Approved			8p11.23	AY487247	NM_000025	ADR	Adrenoceptors	169
336	AGTR1	angiotensin II receptor type 1	Approved	AGTR1B	"AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B"	3q24	M87290		AGTR	Angiotensin receptors	221
338	AGTR2	angiotensin II receptor type 2	Approved		"AT2, MRX88"	Xq23	AY324607	NM_000686	AGTR	Angiotensin receptors	221
895	AVPR1A	arginine vasopressin receptor 1A	Approved	AVPR1		12q14.2	L25615		AVPR	Arginine vasopressin and oxytocin receptors	259
896	AVPR1B	arginine vasopressin receptor 1B	Approved	AVPR3		1q32.1	D31833	NM_000707	AVPR	Arginine vasopressin and oxytocin receptors	259
897	AVPR2	arginine vasopressin receptor 2	Approved	"DIR3, DIR"	V2R	Xq28	Z11687		AVPR	Arginine vasopressin and oxytocin receptors	259
8529	OXTR	oxytocin receptor	Approved			3p25.3			AVPR	Arginine vasopressin and oxytocin receptors	259
4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Approved	"FY, DARC"	"CCBP1, GPD, Dfy, CD234"	1q23.2	U01839	NM_002036	ACKR	Atypical chemokine receptors	1090
1565	ACKR2	atypical chemokine receptor 2	Approved	"CMKBR9, CCBP2"	"CCR10, D6, CCR9"	3p22.1	U94888	NM_001296	ACKR	Atypical chemokine receptors	1090
23692	ACKR3	atypical chemokine receptor 3	Approved	"CMKOR1, CXCR7"	"RDC1, GPR159"	2q37.3	BC008459	NM_020311	ACKR	Atypical chemokine receptors	1090
1611	ACKR4	atypical chemokine receptor 4	Approved	CCRL1	"CCR11, CCBP2, VSHK1, CCX-CKR, PPR1"	3q22.1	AF110640	NM_016557	ACKR	Atypical chemokine receptors	1090
1612	CCRL2	C-C motif chemokine receptor like 2	Approved		"HCR, CRAM-B, CKRX, CRAM-A, ACKR5"	3p21.31	AF014958		ACKR	Atypical chemokine receptors	1090
21043	PITPNM3	PITPNM family member 3	Approved	CORD5	"NIR1, RDGBA3, ACKR6"	17p13.2-p13.1	AF334586	NM_031220	ACKR	Atypical chemokine receptors	1090
1029	BDKRB1	bradykinin receptor B1	Approved		"BKR1, B1BKR, bradyb1"	14q32.2	L42383		BDKR	Bradykinin receptors	223
1030	BDKRB2	bradykinin receptor B2	Approved		BK-2	14q32.2	S56772		BDKR	Bradykinin receptors	223
1602	CCR1	C-C motif chemokine receptor 1	Approved	"SCYAR1, CMKBR1"	"CKR-1, MIP1aR, CD191"	3p21.31		NM_001295	CCR	C-C motif chemokine receptors	1091
4474	CCR10	C-C motif chemokine receptor 10	Approved	GPR2		17q21.2	AF215981	NM_016602	CCR	C-C motif chemokine receptors	1091
1603	CCR2	C-C motif chemokine receptor 2	Approved	CMKBR2	"CC-CKR-2, CKR2, MCP-1-R, CD192, FLJ78302"	3p21.31		NM_000647	CCR	C-C motif chemokine receptors	1091
1604	CCR3	C-C motif chemokine receptor 3	Approved	CMKBR3	"CC-CKR-3, CKR3, CD193"	3p21.31	AF247361		CCR	C-C motif chemokine receptors	1091
1605	CCR4	C-C motif chemokine receptor 4	Approved		"CC-CKR-4, CMKBR4, CKR4, k5-5, ChemR13, CD194"	3p22.3	X85740		CCR	C-C motif chemokine receptors	1091
1606	CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)	Approved	CMKBR5	"CKR-5, CC-CKR-5, CKR5, CD195, IDDM22"	3p21.31		NM_000579	CCR	C-C motif chemokine receptors	1091
1607	CCR6	C-C motif chemokine receptor 6	Approved	STRL22	"CKR-L3, GPR-CY4, CMKBR6, GPR29, DRY-6, DCR2, BN-1, CD196"	6q27	U68030		CCR	C-C motif chemokine receptors	1091
1608	CCR7	C-C motif chemokine receptor 7	Approved	"CMKBR7, EBI1"	"BLR2, CDw197, CD197"	17q21.2			CCR	C-C motif chemokine receptors	1091
1609	CCR8	C-C motif chemokine receptor 8	Approved	"CMKBRL2, CMKBR8"	"CY6, TER1, CKR-L1, GPR-CY6, CDw198"	3p22.1	D49919	NM_005201	CCR	C-C motif chemokine receptors	1091
1610	CCR9	C-C motif chemokine receptor 9	Approved	GPR28	"GPR-9-6, CDw199"	3p21.31	AJ132337		CCR	C-C motif chemokine receptors	1091
2558	CX3CR1	C-X3-C motif chemokine receptor 1	Approved	"GPR13, CMKBRL1"	"CMKDR1, V28, CCRL1"	3p22.2	BC028078	NM_001337	CX3CR	C-X-3-C motif chemokine receptors	1093
6026	CXCR1	C-X-C motif chemokine receptor 1	Approved	"CMKAR1, IL8RA"	"CKR-1, CDw128a, CD181"	2q35	U11870	NM_000634	CXCR	C-X-C motif chemokine receptors	1094
6027	CXCR2	C-X-C motif chemokine receptor 2	Approved	IL8RB	"CMKAR2, CD182"	2q35	U11869	NM_001557	CXCR	C-X-C motif chemokine receptors	1094
4540	CXCR3	C-X-C motif chemokine receptor 3	Approved	GPR9	"CKR-L2, CMKAR3, IP10-R, MigR, CD183"	Xq13.1	U32674		CXCR	C-X-C motif chemokine receptors	1094
2561	CXCR4	C-X-C motif chemokine receptor 4	Approved		"LESTR, NPY3R, HM89, NPYY3R, D2S201E, fusin, HSY3RR, NPYR, CD184"	2q22.1	AF005058		CXCR	C-X-C motif chemokine receptors	1094
1060	CXCR5	C-X-C motif chemokine receptor 5	Approved	BLR1	"MDR15, CD185"	11q23.3	X68829	NM_001716	CXCR	C-X-C motif chemokine receptors	1094
16647	CXCR6	C-X-C motif chemokine receptor 6	Approved		"TYMSTR, STRL33, BONZO, CD186"	3p21.31	AF007545		CXCR	C-X-C motif chemokine receptors	1094
2159	CNR1	cannabinoid receptor 1	Approved	CNR	"CB1K5, CB-R, CB1, CANN6, CB1A"	6q15	AF107262		CNR	Cannabinoid receptors	202
2160	CNR2	cannabinoid receptor 2	Approved		CB2	1p36.11	X74328	NM_001841	CNR	Cannabinoid receptors	202
2121	CMKLR1	chemerin chemokine-like receptor 1	Approved		RVER1	12q23.3	U79526		CMKLR	Chemerin receptor	218
1570	CCKAR	cholecystokinin A receptor	Approved			4p15.2	L19315			Cholecystokinin receptors	224
1571	CCKBR	cholecystokinin B receptor	Approved			11p15.4	D13305	NM_176875		Cholecystokinin receptors	224
1950	CHRM1	cholinergic receptor muscarinic 1	Approved			11q12.3	Y00508	NM_000738	CHRM	Cholinergic receptors muscarinic	180
1951	CHRM2	cholinergic receptor muscarinic 2	Approved			7q33			CHRM	Cholinergic receptors muscarinic	180
1952	CHRM3	cholinergic receptor muscarinic 3	Approved			1q43	U29589	NM_000740	CHRM	Cholinergic receptors muscarinic	180
1953	CHRM4	cholinergic receptor muscarinic 4	Approved			11p11.2	M16405	NM_000741	CHRM	Cholinergic receptors muscarinic	180
1954	CHRM5	cholinergic receptor muscarinic 5	Approved			15q14			CHRM	Cholinergic receptors muscarinic	180
1319	C3AR1	complement C3a receptor 1	Approved		"C3AR, AZ3B"	12p13.31	U28488	NM_004054		Complement component GPCRs	196
1338	C5AR1	complement C5a receptor 1	Approved	C5R1	"C5A, C5AR, CD88"	19q13.32		NM_001736		Complement component GPCRs	196
4527	C5AR2	complement component 5a receptor 2	Approved	GPR77	C5L2	19q13.32	AB038237	NM_018485		Complement component GPCRs	196
3020	DRD1	dopamine receptor D1	Approved			5q35.2	X55760	NM_000794	DRD	Dopamine receptors	181
