MT	15423	20422	ENSMUSG00000064372	mt-Tp	-1
MT	10289	15288	ENSMUSG00000064371	mt-Tt	1
MT	9145	14144	ENSMUSG00000064370	mt-Cytb	1
MT	14140	19139	ENSMUSG00000064369	mt-Te	-1
MT	14071	19070	ENSMUSG00000064368	mt-Nd6	-1
MT	6742	11741	ENSMUSG00000064367	mt-Nd5	1
MT	6671	11670	ENSMUSG00000064366	mt-Tl2	1
MT	6613	11612	ENSMUSG00000064365	mt-Ts2	1
MT	6546	11545	ENSMUSG00000064364	mt-Th	1
MT	5167	10166	ENSMUSG00000064363	mt-Nd4	1
MT	4877	9876	ENSMUSG00000065947	mt-Nd4l	1
MT	4808	9807	ENSMUSG00000064361	mt-Tr	1
MT	4459	9458	ENSMUSG00000064360	mt-Nd3	1
MT	4391	9390	ENSMUSG00000064359	mt-Tg	1
MT	3607	8606	ENSMUSG00000064358	mt-Co3	1
MT	2927	7926	ENSMUSG00000064357	mt-Atp6	1
MT	2766	7765	ENSMUSG00000064356	mt-Atp8	1
MT	2700	7699	ENSMUSG00000064355	mt-Tk	1
MT	2013	7012	ENSMUSG00000064354	mt-Co2	1
MT	1942	6941	ENSMUSG00000064353	mt-Td	1
MT	6939	11938	ENSMUSG00000064352	mt-Ts1	-1
MT	328	5327	ENSMUSG00000064351	mt-Co1	1
MT	5327	10326	ENSMUSG00000064350	mt-Ty	-1
MT	5258	10257	ENSMUSG00000064349	mt-Tc	-1
MT	5160	10159	ENSMUSG00000064348	mt-Tn	-1
MT	5087	10086	ENSMUSG00000064347	mt-Ta	-1
MT	3843	8842	ENSMUSG00000064343	mt-Tq	-1
10	127058534	127063533	ENSMUSG00000006728	Cdk4	1
4	58009125	58014124	ENSMUSG00000038709	Txndc8	-1
6	141624518	141629517	ENSMUSG00000030236	Slco1b2	1
4	140742644	140747643	ENSMUSG00000040935	Padi6	-1
9	96892670	96897669	ENSMUSG00000043587	Pxylp1	-1
9	104099436	104104435	ENSMUSG00000111218	AC145736.2	1
17	27650509	27655508	ENSMUSG00000040276	Pacsin1	1
9	104096135	104101134	ENSMUSG00000111039	AC145736.1	1
10	128744856	128749855	ENSMUSG00000025357	Dgka	-1
9	104063135	104068134	ENSMUSG00000032557	Uba5	-1
11	54517847	54522846	ENSMUSG00000037533	Rapgef6	1
9	44108880	44113879	ENSMUSG00000092258	Gm20444	-1
8	12752014	12757013	ENSMUSG00000031441	Atp11a	1
2	104551661	104556660	ENSMUSG00000082379	Gm13884	1
4	115558649	115563648	ENSMUSG00000028712	Cyp4a31	1
6	42365671	42370670	ENSMUSG00000101268	2010310C07Rik	1
2	38927689	38932688	ENSMUSG00000063972	Nr6a1	-1
5	140700011	140705010	ENSMUSG00000000148	Brat1	1
5	11497685	11502684	ENSMUSG00000095296	Gm8906	1
6	42350863	42355862	ENSMUSG00000108033	Gm44284	-1
11	120531785	120536784	ENSMUSG00000084983	Gm11789	-1
6	116977019	116982018	ENSMUSG00000107415	Gm43929	1
6	42344630	42349629	ENSMUSG00000029860	Zyx	1
5	122372408	122377407	ENSMUSG00000104916	Gm42830	1
5	122372365	122377364	ENSMUSG00000029463	Fam216a	-1
14	52649817	52654816	ENSMUSG00000104620	Trav7-1	1
7	62372010	62377009	ENSMUSG00000056972	Magel2	1
X	107787590	107792589	ENSMUSG00000073007	Fam46d	1
5	34187721	34192720	ENSMUSG00000037235	Mxd4	-1
7	62420140	62425139	ENSMUSG00000070527	Mkrn3	-1
11	58842158	58847157	ENSMUSG00000072915	Gm12258	1
3	86672169	86677168	ENSMUSG00000094392	Gm3788	-1
7	62423246	62428245	ENSMUSG00000108986	Gm32061	-1
3	86548630	86553629	ENSMUSG00000057777	Mab21l2	-1
