HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
8179	OR1A1	olfactory receptor family 1 subfamily A member 1	Approved		OR17-7	17p13.3	AF087918	NM_014565	OR1	"Olfactory receptors, family 1"	147
8180	OR1A2	olfactory receptor family 1 subfamily A member 2	Approved		OR17-6	17p13.3	AF155225	NM_012352	OR1	"Olfactory receptors, family 1"	147
8182	OR1C1	olfactory receptor family 1 subfamily C member 1	Approved		"TPCR27, HSTPCR27"	1q44	X89674		OR1	"Olfactory receptors, family 1"	147
8183	OR1D2	olfactory receptor family 1 subfamily D member 2	Approved	OLFR1	OR17-4	17p13.3	U04678	NM_002548	OR1	"Olfactory receptors, family 1"	147
8186	OR1D5	olfactory receptor family 1 subfamily D member 5	Approved		OR17-31	17p13.3	AF087923	NM_014566	OR1	"Olfactory receptors, family 1"	147
8189	OR1E1	olfactory receptor family 1 subfamily E member 1	Approved	"OR1E9P, OR1E5, OR1E6"	"OR17-2, HGM071, OR17-32, OR13-66"	17p13.3	U04642	NM_003553	OR1	"Olfactory receptors, family 1"	147
8190	OR1E2	olfactory receptor family 1 subfamily E member 2	Approved	OR1E4	"OR17-93, OR17-135"	17p13.2	U04686		OR1	"Olfactory receptors, family 1"	147
8194	OR1F1	olfactory receptor family 1 subfamily F member 1	Approved	"OR1F4, OR1F6, OR1F7, OR1F8, OR1F9, OR1F5, OR1F10, OR1F13P"	"Olfmf, OR16-36, OR16-37, OR16-88, OR16-89, OR16-90, OLFMF, OR3-145"	16p13.3	Y14442		OR1	"Olfactory receptors, family 1"	147
13964	OR1F12	olfactory receptor family 1 subfamily F member 12	Approved	OR1F12P	"hs6M1-35P, OR1F12Q"	6p22.1			OR1	"Olfactory receptors, family 1"	147
8204	OR1G1	olfactory receptor family 1 subfamily G member 1	Approved	OR1G2	OR17-209	17p13.3	U04689		OR1	"Olfactory receptors, family 1"	147
8207	OR1I1	olfactory receptor family 1 subfamily I member 1	Approved		"OR1I1P, OR19-20, OR1I1Q"	19p13.1	AC004794		OR1	"Olfactory receptors, family 1"	147
8208	OR1J1	olfactory receptor family 1 subfamily J member 1	Approved		hg32	9q33.2	AL353767		OR1	"Olfactory receptors, family 1"	147
8209	OR1J2	olfactory receptor family 1 subfamily J member 2	Approved	"OR1J3, OR1J5"	OST044	9q33.2			OR1	"Olfactory receptors, family 1"	147
8211	OR1J4	olfactory receptor family 1 subfamily J member 4	Approved		"HTPCRX01, HSHTPCRX01"	9q33.2	X64979		OR1	"Olfactory receptors, family 1"	147
8212	OR1K1	olfactory receptor family 1 subfamily K member 1	Approved		"hg99, MNAB"	9q33	AL359512		OR1	"Olfactory receptors, family 1"	147
8213	OR1L1	olfactory receptor family 1 subfamily L member 1	Approved	OR1L2	OR9-C	9q33.2			OR1	"Olfactory receptors, family 1"	147
