name	ensembl_id	chromosome	position	length	source	type
A1BG	ENSG00000121410	19	-58353499	8321	ensembl_havana	protein_coding
A1CF	ENSG00000148584	10	-50885675	86266	ensembl_havana	protein_coding
A2M	ENSG00000175899	12	-9116229	48565	ensembl_havana	protein_coding
A2ML1	ENSG00000166535	12	8822471	64529	ensembl_havana	protein_coding
A3GALT2	ENSG00000184389	1	-33321098	14332	ensembl_havana	protein_coding
A4GALT	ENSG00000128274	22	-42721298	29177	ensembl_havana	protein_coding
A4GNT	ENSG00000118017	3	-138132387	8669	ensembl_havana	protein_coding
AAAS	ENSG00000094914	12	-53324864	17408	ensembl_havana	protein_coding
AACS	ENSG00000081760	12	125065378	77954	ensembl_havana	protein_coding
AADAC	ENSG00000114771	3	151814036	14451	ensembl_havana	protein_coding
AADACL2	ENSG00000197953	3	151733915	27423	ensembl_havana	protein_coding
AADACL3	ENSG00000188984	1	12716114	12644	ensembl_havana	protein_coding
AADACL4	ENSG00000204518	1	12644546	22539	ensembl_havana	protein_coding
AADAT	ENSG00000109576	4	-170091699	31477	ensembl_havana	protein_coding
AAED1	ENSG00000158122	9	-96655303	15726	ensembl_havana	protein_coding
AAGAB	ENSG00000103591	15	-67255195	54162	ensembl_havana	protein_coding
AAK1	ENSG00000115977	2	-69674349	216352	ensembl_havana	protein_coding
AAMDC	ENSG00000087884	11	77821108	97323	ensembl_havana	protein_coding
AAMP	ENSG00000127837	2	-218270257	6134	ensembl_havana	protein_coding
AANAT	ENSG00000129673	17	76453350	16766	ensembl_havana	protein_coding
AAR2	ENSG00000131043	20	36236458	34459	ensembl_havana	protein_coding
AARD	ENSG00000205002	8	116938198	6288	ensembl_havana	protein_coding
AARS	ENSG00000090861	16	-70289543	37248	ensembl_havana	protein_coding
AARS2	ENSG00000124608	6	-44313326	13672	ensembl_havana	protein_coding
AARSD1	ENSG00000266967	17	-42964498	13972	ensembl_havana	protein_coding
AASDH	ENSG00000157426	4	-56387508	49221	ensembl_havana	protein_coding
AASDHPPT	ENSG00000149313	11	106075500	23209	ensembl_havana	protein_coding
AASS	ENSG00000008311	7	-122144280	68633	ensembl_havana	protein_coding
AATF	ENSG00000275700	17	36948874	107996	ensembl_havana	protein_coding
AATK	ENSG00000181409	17	-81166077	48782	ensembl_havana	protein_coding
AATK-AS1	ENSG00000225180	17	81165506	17657	havana	protein_coding
ABAT	ENSG00000183044	16	8674564	110010	ensembl_havana	protein_coding
