HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
81	ABR	ABR, RhoGEF and GTPase activating protein	Approved		MDB	17p13.3	L19704		PLEKH	Pleckstrin homology domain containing	682
16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Approved	CENTB1	KIAA0050	17p13.1	D30758	NM_014716	PLEKH	Pleckstrin homology domain containing	682
16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Approved	CENTB2	KIAA0041, CNT-B2	3q29		NM_012287	PLEKH	Pleckstrin homology domain containing	682
16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Approved	CENTB5	KIAA1716	1p36.33	AF411981	NM_030649	PLEKH	Pleckstrin homology domain containing	682
16486	ADAP1	ArfGAP with dual PH domains 1	Approved	CENTA1	GCS1L	7p22.3	AJ006422	NM_006869	PLEKH	Pleckstrin homology domain containing	682
16487	ADAP2	ArfGAP with dual PH domains 2	Approved	CENTA2		17q11.2	AJ238994	NM_018404	PLEKH	Pleckstrin homology domain containing	682
289	GRK2	G protein-coupled receptor kinase 2	Approved	ADRBK1	BARK1	11q13.2	X61157	NM_001619	PLEKH	Pleckstrin homology domain containing	682
290	GRK3	G protein-coupled receptor kinase 3	Approved	ADRBK2	BARK2	22q12.1	X69117	NM_005160	PLEKH	Pleckstrin homology domain containing	682
24017	AFAP1	actin filament associated protein 1	Approved		AFAP-110, AFAP	4p16.1	AB209676	NM_021638	PLEKH	Pleckstrin homology domain containing	682
26714	AFAP1L1	actin filament associated protein 1 like 1	Approved		FLJ36748	5q32	AK094067	NM_152406	PLEKH	Pleckstrin homology domain containing	682
25901	AFAP1L2	actin filament associated protein 1 like 2	Approved	KIAA1914	FLJ14564, Em:AC005383.4, XB130	10q25.3	BC024314	NM_032550	PLEKH	Pleckstrin homology domain containing	682
16922	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	Approved	CENTG2	KIAA1099, GGAP1	2q37.2	AF413078	NM_014914	PLEKH	Pleckstrin homology domain containing	682
16921	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	Approved	CENTG1		12q14.1	AF413077	NM_014770	PLEKH	Pleckstrin homology domain containing	682
16923	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	Approved	CENTG3		7q36.1	AF413079	NM_031946	PLEKH	Pleckstrin homology domain containing	682
23459	AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	Approved	CTGLF1, AGAP8, CTGLF5	Em:AC012044.1, MRIP2	10q11.22	AF411132	NM_133446	PLEKH	Pleckstrin homology domain containing	682
23467	AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	Approved	CTGLF2	Em:AC073389.1	10q22.2		NM_001144000	PLEKH	Pleckstrin homology domain containing	682
23466	AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	Approved	CTGLF3	bA324H6.1	10q11.23		NM_001077665	PLEKH	Pleckstrin homology domain containing	682
23465	AGAP7P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene	Approved	CTGLF4, AGAP7	bA109G10.1	10q11.22		NM_001077685	PLEKH	Pleckstrin homology domain containing	682
23463	AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	Approved	CTGLF6	bA301J7.2, FLJ00312	10q11.22		NM_001190810	PLEKH	Pleckstrin homology domain containing	682
371	AKAP13	A-kinase anchoring protein 13	Approved	LBC	Ht31, BRX, AKAP-Lbc, c-lbc, PROTO-LB, HA-3, ARHGEF13	15q25.3	M90360	NM_007200	PLEKH	Pleckstrin homology domain containing	682
391	AKT1	AKT serine/threonine kinase 1	Approved		RAC, PKB, PRKBA, AKT	14q32.33	M63167	NM_005163	PLEKH	Pleckstrin homology domain containing	682
392	AKT2	AKT serine/threonine kinase 2	Approved			19q13.2	M77198	NM_001626	PLEKH	Pleckstrin homology domain containing	682
393	AKT3	AKT serine/threonine kinase 3	Approved		PKBG, RAC-gamma, PRKBG	1q43-q44	AF124141	NM_181690	PLEKH	Pleckstrin homology domain containing	682
