HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
5297	HTR3A	5-hydroxytryptamine receptor 3A	Approved	HTR3	5-HT3R, 5-HT3A	11q23.2	D49394	NM_000869		5-hydroxytryptamine receptors, ionotropic 	172
5298	HTR3B	5-hydroxytryptamine receptor 3B	Approved		5-HT3B	11q23.2	AF080582	NM_006028		5-hydroxytryptamine receptors, ionotropic 	172
24003	HTR3C	5-hydroxytryptamine receptor 3C	Approved			3q27.1	AF459285	NM_130770		5-hydroxytryptamine receptors, ionotropic 	172
24004	HTR3D	5-hydroxytryptamine receptor 3D	Approved			3q27.1	AY159812	NM_182537		5-hydroxytryptamine receptors, ionotropic 	172
24005	HTR3E	5-hydroxytryptamine receptor 3E	Approved			3q27.1	AY159813	NM_182589		5-hydroxytryptamine receptors, ionotropic 	172
100	ASIC1	acid sensing ion channel subunit 1	Approved	ACCN2	BNaC2, hBNaC2	12q13.12	U78181	NM_020039	ASIC	Acid sensing ion channel subunits	290
99	ASIC2	acid sensing ion channel subunit 2	Approved	ACCN, ACCN1	ASIC2a, BNC1, BNaC1, hBNaC1, MDEG	17q11.2-q12	AL834182	NM_183377, NM_001094	ASIC	Acid sensing ion channel subunits	290
101	ASIC3	acid sensing ion channel subunit 3	Approved	ACCN3	TNaC1, DRASIC	7q36.1	AB010575	NM_004769	ASIC	Acid sensing ion channel subunits	290
21263	ASIC4	acid sensing ion channel subunit family member 4	Approved	ACCN4	BNAC4	2q35	AJ271643	NM_018674	ASIC	Acid sensing ion channel subunits	290
17537	ASIC5	acid sensing ion channel subunit family member 5	Approved	ACCN5	INAC, HINAC	4q32.1	AJ252011		ASIC	Acid sensing ion channel subunits	290
21625	ANO1	anoctamin 1	Approved	ORAOV2, TMEM16A	TAOS2, FLJ10261, DOG1	11q13.3	BC033036	NM_018043	ANO	Anoctamins	865
25519	ANO10	anoctamin 10	Approved	TMEM16K	FLJ10375, MGC47890, SCAR10	3p22.1-p21.33	AL832508	NM_018075	ANO	Anoctamins	865
1183	ANO2	anoctamin 2	Approved	C12orf3, TMEM16B		12p13.31	AJ272204	NM_020373	ANO	Anoctamins	865
14004	ANO3	anoctamin 3	Approved	C11orf25, TMEM16C	GENX-3947, DYT23	11p14.2	AJ300461	NM_031418	ANO	Anoctamins	865
23837	ANO4	anoctamin 4	Approved	TMEM16D	FLJ34221, FLJ34272, FLJ35277	12q23.1	AK091540	NM_178826	ANO	Anoctamins	865
27337	ANO5	anoctamin 5	Approved	TMEM16E, LGMD2L	GDD1	11p14.3	AL833271	NM_213599	ANO	Anoctamins	865
25240	ANO6	anoctamin 6	Approved	TMEM16F	DKFZp313M0720	12q12	AL832340	NM_001025356	ANO	Anoctamins	865
31677	ANO7	anoctamin 7	Approved	PCANAP5, TMEM16G	NGEP, PCANAP5L, IPCA-5	2q37.3	AY617079	NM_001001891	ANO	Anoctamins	865
29329	ANO8	anoctamin 8	Approved	KIAA1623, TMEM16H		19p13.11	AB046843	NM_020959	ANO	Anoctamins	865
20679	ANO9	anoctamin 9	Approved	TP53I5, TMEM16J	PIG5	11p15.5	U33271	NM_001012302	ANO	Anoctamins	865
7103	MIP	major intrinsic protein of lens fiber	Approved		MP26, LIM1, AQP0	12q13		NM_012064	AQP	Aquaporins	305
